Checklist,Clause,Req Name,Details,Project ID,Verification Method
45,5.1.1,Determining H Point,"The H point is a reference point as defined in paragraph 2.3. of Annex 4 of this Regulation, which must be determined in accordance with the procedure set out in that Annex.",,Analysis
1,5.1.1.1,Provide H Point Location,Point H' is a reference point corresponding to H as defined in paragraph 5.1.1. which shall be determined for every normal position in which the seat is used.,SRP8-034,Analysis
2,5.1.1.2,Provide R Point Location,The R point is the seating reference point defined in paragraph 2.4. of Annex 4 of this Regulation.,SRP8-034,
46,5.1.2,3-D reference system definition,The three-dimensional reference system is defined in Appendix 2 of Annex 4 of this Regulation.,,
3,5.1.3 Pt 1,Provide Point L1,Points L1 and L2 are the lower effective belt anchorages.,SRP8-034,
4,5.1.3 Pt 2,Provide Point L2,Points L1 and L2 are the lower effective belt anchorages.,SRP8-034,
5,5.1.4,Provide Point C Location,Point C is a point situated 450 mm vertically above the R point.,SRP8-034,
6,5.1.4,Alternate Point C Location,"However, if the distance S as defined in paragraph 5.1.6. is not less than 280 mm and if the alternative formula BR = 260 mm + 0.8 S specified in paragraph 5.4.3.3. is chosen by the manufacturer, the vertical distance between C and R shall be 500 mm.",SRP8-034,
7,5.1.5 Pt 1,Provide α1,"The angles α1 and α2 are respectively the angles between a horizontal plane and planes perpendicular to the median vertical longitudinal plane of the seat and passing through the R-point and the points L1 and L2.
If the seat is adjustable, this requirement shall be fulfilled also for the H-points of all normal driving or riding positions, as indicated by the vehicle manufacturer.",SRP8-034,
8,5.1.5 Pt 2,Provide α2,"The angles α1 and α2 are respectively the angles between a horizontal plane and planes perpendicular to the median vertical longitudinal plane of the seat and passing through the R-point and the points L1 and L2.
If the seat is adjustable, this requirement shall be fulfilled also for the H-points of all normal driving or riding positions, as indicated by the vehicle manufacturer.",SRP8-034,
9,5.1.6,Provide S point (for well-defined seat position -> if absent ask for 5.1.6.2 which has more reqs),"S is the distance in millimetres of the effective upper belt anchorages from a reference plane P parallel to the longitudinal median plane of the vehicle defined as follows:
5.1.6.1. If the seating position is well-defined by the shape of the seat, the plane P shall be the median plane of this seat.",SRP8-034,
10,5.2.1,Anchorage Design Specs,"Anchorages for safety-belts shall be so designed, made and situated as to:",,
11,5.2.1.1,Anchorage General Design Reqs,"Enable the installation of a suitable safety-belt. The belt anchorages of the front outboard positions shall be suitable for safety-belts incorporating a retractor and pulley, taking into consideration in particular the strength characteristics of the belt anchorages, unless the manufacturer supplies the vehicle equipped with other types of safety-belts which incorporate retractors. If the anchorages are suitable only for particular types of safety-belts, these types shall be stated on the form mentioned in paragraph 4.3. above;",SRP8-034,
12,5.2.1.2,Belt Slipping Risk,Reduce to a minimum the risk of the belt's slipping when worn correctly;,SRP8-034,
13,5.2.1.3,Strap Damage,"The buckle shall be easy to use and to grasp; when it is not under tension and when under the tension specified in paragraph 7.8.2. below, it shall be capable of being released by the wearer with a single simple movement of one hand in one direction; in addition, in the case of belt assemblies intended to be used for the front outboard seats, except in these harness belts, it shall also be capable of being engaged by the wearer with a simple movement of one hand in one direction. The buckle shall be released by pressing either a button or a similar device.",SRP8-034,
14,5.2.1.4,Comply with regs,"Enable the vehicle, in normal use, to comply with the provisions of this Regulation;",SRP8-034,
15,5.2.1.5,Anchorages in different positions,"For anchorages which take up different positions to allow persons to enter the vehicle and to restrain the occupants, the specifications of this Regulation shall apply to the anchorages in the effective restraint position.",SRP8-034,
