Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,11.2.1,Mounting,Each ‘Sun Visor’ mounting shall present no rigid material edge radius of less than 3 mm that is statically ‘Contactable’ by a spherical 165 mm diameter head form.,SRP8-027,Inspection
2,11.2.2,Mirror,"Each edge of a ‘Contactable’ mirror attached to a ‘Sun Visor’ shall be covered with a thickness of at least 1.5 mm of energy absorbing material. Glazing material used in ‘Contactable’ mirrors shall comply with the requirements of the ADR for ""Safety Glazing Material"", or shall be so constructed as to prevent the particles formed on fracture from becoming detached from the ‘Sun Visor’.",SRP8-027,Inspection
9,11.3,Specific Requirements,,SRP8-027,
10,11.3.1,,"When tested in accordance with the procedure of Clause 11.3.4, a ‘Sun Visor’ shall meet the requirements of Clauses 11.3.2 and 11.3.3",SRP8-027,
3,11.3.2,Design,The ‘Sun Visor’ shall be constructed of or covered with energy absorption materials nominally over the whole area such that requirements of Clause 11.3.3 are met. These requirements shall be met by both sides of a ‘Sun Visor’ if both sides are ‘Contactable’. Any rigid structure required to support the ‘Sun Visor’ or maintain its shape shall be of such dimensions as to limit the likelihood of injury to the head on impact.,SRP8-027,Analysis
4,11.3.3,Energy Absorption,"When tested in accordance with the procedure of Clause 11.3.4 or by any other ‘Approved’ test procedure, the test sample shall arrest the moving head in such a way that the deceleration does not exceed 80 times theacceleration due to gravity, except during a period of less than 3 milliseconds when no peak shall exceed 200 times the acceleration due to gravity. Deceleration peaks exceeding 200 times the acceleration due to gravity and of very short duration are permissible if it can be shown that they are due to ringing of the test equipment.",SRP8-027,ADR testing procedure
5,11.3.4,Sun visor,Test sample shall be a right square prism with plane dimensions at least l00 mm by l00 mm. It shall consist of the energy absorbing materials used in the ‘Sun Visor’ with a thickness equal to their minimum thickness measured at any point 25 mm or more from the edge of the ‘Sun Visor’. Alternatively the test sample may be the ‘Sun Visor’ itself. In this case the requirements shall be met for impact at any point more than 40 mm from the edge of the ‘Sun Visor’. The test sample shall be conditioned for at least 6 hours at 25 ± 5°C and tested at that temperature.,SRP8-027,ADR testing procedure
6,11.3.4.2,,"The dynamic testing equipment shall consist of a rigid moving head having an effective mass of 6.8 ± 0.l kg and a rigid anvil having a mass of at least 300 kg. The moving head and anvil should have sufficient rigidity to obviate undesirable vibrations in the equipment. The portion of the moving head which contacts the test sample must be of spherical shape with a diameter of 165 mm. The face of the anvil should be perpendicular to the direction of travel of the moving head just prior to impact. However, where a ‘Sun Visor’ of tapered thickness is being tested, the anvil may be tilted or a rigid support provided, to ensure that the surface of the ‘Sun Visor’ at the impact point is perpendicular to the direction of travel of the moving head.",SRP8-027,ADR testing procedure
7,11.3.4.3,,The moving head shall impact the test sample at a velocity of not less than 3.5 m/s and a means of measuring this velocity shall be provided.,SRP8-027,ADR testing procedure
8,11.3.3.4,,A transducer shall be mounted on the moving head such that a complete deceleration time curve is obtained using an oscilloscope or other recording device. The deceleration channel must have a frequency response flat to within ± 5 per cent from one to 1000 Hz.,SRP8-027,ADR testing procedure
