Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5.1,Collision Testing (Not Applicable),"When the unladen vehicle, in running order, without a manikin, is collision tested against a barrier at a speed of 48.3 km/h (30 mph), the top of the steering column and its shaft shall not move backwards, horizontally and parallel to the longitudinal axis of the vehicle, by more than 12.7 cm and also not more than 12.7 cm vertically upwards, both dimensions considered in relation to a point of the vehicle not affected by the impact.",,N/A
2,5.1.1,Collision Testing (Not Applicable),"In the case of a vehicle powered by an electric motor, the impact test prescribed in paragraph 5.1. shall be carried out with the propulsion battery master switch in the ""ON"" position. In addition, the following requirements shall be satisfied during and after the test.",,N/A
3,5.1.1.1,Collision Testing (Not Applicable),The monoblocs shall remain fixed in their places;,,N/A
4,5.2,Collision Testing (Not Applicable),"When the steering control is struck by a body block released against this control at a relative speed of 24.1 km/h (15 mph), the force applied to the body block by the steering control shall not exceed 1,111 daN.",,N/A
5,5.3,Collision Testing (Not Applicable),"When the steering control is struck by an impactor released against this control at a relative speed of 24.1 km/h, in accordance with the procedures of annex 5, the deceleration of the impactor shall not exceed 80 g cumulative for more than 3 milliseconds. The deceleration shall always be lower than 120 g with C.F.C. 600 Hz.",,N/A
6,5.4,,"The steering control shall be designed, constructed and fitted in such a way that:",,Inspection
7,5.4.1,Steering Control Surface,"Before the impact test prescribed in paragraphs 5.2. and 5.3. above no part of the steering control surface, directed towards the driver, which can be contacted by a sphere of 165 mm in diameter shall present any roughness or sharp edges with a radius of curvature of less than 2.5 mm",SRP8-022,Inspection/Test
8,5.4.1.1,Post Collision Testing (Not Applicable),After any impact test prescribed in paragraphs 5.2. and 5.3. the part of the steering control surface directed towards the driver shall not present any sharp or rough edges likely to increase the danger or severity of injuries to the driver. Small surface cracks and fissures shall be disregarded.,,N/A
9,5.4.1.1.1,Projection,"In the case of a projection consisting of a component made of nonrigid material of less than 50 Shore A hardness mounted on rigid support, the requirement of paragraph 5.4.1.1. shall only apply to the rigid support",,Inspection
10,5.4.2,Steering Control Surface,"The steering control shall be so designed, constructed and fitted as not to embody components or accessories, including the horn control and assembly accessories, capable of catching in the driver's clothing or jewellery in normal driving movements.",SRP8-022,Inspect
11,5.4.4,Steering Column angles,"In the case of ""general steering controls"", the requirements shall be met over:",SRP8-048,Inspection
11,5.4.4.1,,"the full range of column angles, it being understood that the tests shall be performed at least for the maximum and minimum column angles for the range of approved vehicle types for which the controls are intended;",SRP8-048,Inspection/Test
12,5.4.4.2,,"the full range of possible impactor and body block positions in relation to the steering control, it being understood that the test shall be performed at least for the mean position for the range of approved vehicle types for which the controls are intended. Where a steering column is used, it shall be of a type corresponding to the ""worst case"" conditions.",SRP8-048,Test
13,5.4.5,,"Where adaptors are used to adapt a single type of steering control to a range of steering column, and it can be demonstrated that with such adaptors the energy‑absorbing characteristics of the system are the same, all the tests may be performed with one type of adaptor.",SRP8-048,Test
