Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5,Closure Device Function 1 (TRPD),"The closure devices shall include the following functions, which may be combined:
(a) TPRD;",SRP8-131,Inspection
2,5,Closure Device Function 2 (Check Valve),"The closure devices shall include the following functions, which may be combined: (b) Check valve that prevents reverse flow to the fill line",SRP8-131,Inspection
3,5,Closure Device Function 3 (Automatic shut-off valve + mounting),"The closure devices shall include the following functions, which may be combined: (c) Automatic shut-off valve that can close to prevent flow from the container to the fuel cell or internal combustion engine. Any shut-off valve, and TPRD that form the primary closure of flow from the storage container shall be mounted directly on or within each container. At least one component with a check valve function shall be mounted directly on or within each container.",SRP8-131,Inspection
4,5,CHSS Functional Requirement 1,All new compressed hydrogen storage systems produced for on-road vehicle service shall have a NWP of 70 MPa or less,SRP8-131,Design
5,5,CHSS Functional Requirement 2,All new compressed hydrogen storage systems produced for on-road vehicle service shall have a service life of 15 years or less,SRP8-131,Manufacturer Specification
6,5.1.1,Midpoint Burst Pressure,"Three (3) containers shall be hydraulically pressurized until burst (Annex 3, paragraph 2.1. test procedure). The manufacturer shall supply documentation (measurements and statistical analyses) that establish the midpoint burst pressure of new storage containers, BPO.",SRP8-131,"Annex 3, Para. 2.1"
7,5.1.1,Burst Pressure Limits,All containers tested shall have a burst pressure within ±10 per cent of BPO and greater than or equal to a minimum BPmin of 225 per cent NWP.,SRP8-131,"Annex 3, Para. 2.1"
8,5.1.1,Glass-fibre composite dependency,"In addition, containers having glass-fibre composite as a primary constituent to have a minimum burst pressure greater than 350 per cent NWP.",SRP8-131,"Annex 3, Para. 2.1"
9,5.1.2,Rupture requirement (min cycles),"Three (3) containers shall be hydraulically pressure cycled at the ambient temperature of 20 (±5) °C to 125 per cent NWP (+2/-0 MPa) without rupture for 22,000 cycles or until a leak occurs (Annex 3, paragraph 2.2. test procedure).",SRP8-131,"Annex 3, Para. 2.2"
10,5.1.2,Leaks before rupture (min cycles),"Leakage shall not occur within 11,000 cycles for a 15-year service life.",SRP8-131,"Annex 3, Para. 2.2"
73,5.2,Performance Durability Overview,"If all three pressure cycle life measurements made in paragraph 5.1.2. are greater than 11,000 cycles, or if they are all within ± 25 per cent of each other, then only one (1) container is tested in paragraph 5.2. Otherwise, three (3) containers are tested in paragraph 5.2.
A hydrogen storage container shall not leak during the following sequence of tests, which are applied in series to a single system and which are illustrated in Figure 2. Specifics of applicable test procedures for the hydrogen storage system are provided in Annex 3, paragraph 3.",SRP8-131,Data from Req 9
11,5.2.1,Proof Pressure Test - Performance Durability,"A storage container is pressurized to 150 per cent NWP (+2/-0 MPa) and held for at least 30 sec (Annex 3, paragraph 3.1. test procedure).",SRP8-131,"Annex 3, Para. 3.1"
