Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,60.2.1,SPECIFICATION,"Colour of light emitted: Red to SAE document J578c, February, 1977 ""Color Specification for Electric Signal Lighting Devices"", or as specified in clause 60.3.2.",,Analysis
2,60.2.2,,Intensity of light emitted,,
3,60.2.2.1,Minimum Light Intensity,"Minimum: In each direction corresponding to the points in the light distribution table of clause 60.3.1, the luminous intensity must be not less than the figure specified in the table for the direction in question.",SRP8-077,Test
4,60.2.2.2,Maximum Light Intensity,Maximum: 160 cd in any direction. The luminous intensity must not exceed this maximum over an area larger than that generated by a 0.25o radius within a solid cone angle from 10L to 10R and from 10U to 5D.,SRP8-077,Test
5,60.2.3,Light Distribution Angles,Minimum angles of light distribution referred to the reference axis,SRP8-077,Test
6,60.2.3.1,Vertical Light Distribution,Vertical: from 10o above to 5o below the horizontal.,SRP8-077,Test
7,60.2.3.2,Horizontal Light Distribution,Horizontal: from 10o to the left to 10o to the right.,SRP8-077,Test
8,60.2.4,,Other Requirements Each lamp must:-,SRP8-077,
9,60.2.4.1,Minimum Projected Area,have an effective projected luminous area not less than 29 square centimetres;,,Analysis
10,60.2.4.2,Symbol and Character Restrictions,"not contain symbols, letters or characters other than those necessary for part number, manufacturer’s identification and/or approval number identification;",SRP8-077,Inspection
11,60.2.4.3,Lamp Globe Replacement Access,provide access for convenient replacement of the globe without the use of special tools;,SRP8-077,Demonstration
12,60.2.4.4,Steady Warning Light,provide a steady warning light;,SRP8-077,Test
13,60.2.4.5,SAE J186a Compliance,"except as provided in clauses 60.2.1 to 60.2.4.2, be designed to conform to the relevant requirements of clauses 1 to 3 of SAE document J186a, September, 1977 ""Supplemental High Mounted Stop and Rear Turn Signal Lamps"", except that:",SRP8-077,Analysis
14,60.2.4.5.1,Light Table Replacement,Table 1 of that SAE document is replaced by the light distribution table of clause 60.3.1;,SRP8-077,Analysis
15,60.2.4.5.2,Test Exemptions for Interior Lamps,lamps designed solely for mounting inside the vehicle need not meet the requirements of paragraphs 3.1.6 Moisture Test; 3.1.7 Dust Test; and 3.1.8 Corrosion Test of that SAE document.,SRP8-077,Analysis
17,60.3.1,Light Distribution Picture,,SRP8-077,Test
18,60.3.2,Trichromatic Colour Specs,Colour of light trichromatic co-ordinates,SRP8-077,Analysis
19,60.3.2.1,Red Light Coordinate Limits,Red: limit towards yellow: y < 0.335 limit towards purple: z < 0.008,SRP8-077,Test
20,60.3.2.2,Light Source For Colour Verification,"For verifying the limits above, a source of light at a colour temperature of 2856K (illuminant A of the International Commission of Illumination (CIE)), in combination with appropriate filters, may be used.",SRP8-077,Test
22,60.4.1,Lamp Presence Requirement,Presence Mandatory.,SRP8-077,Inspection
23,60.4.2,Number of Lamps,Number One.,SRP8-077,Inspection
24,60.4.3,Lamp Arrangement,Arrangement No special requirement.,SRP8-077,Inspection
25,60.4.4,Lamp Position,Position,SRP8-077,Inspection
26,60.4.4.1,Lateral Lamp Positioning,In width: on the vehicle’s median longitudinal plane.,SRP8-077,Inspection
27,60.4.4.2,Vertical Lamp Positioning,"In height: at any position including on the glazing, except that no portion of the lens must be lower than the bottom edge of the rear window by more than:",SRP8-077,Inspection
28,60.4.4.2.1,N/A,152 mm for convertibles;,SRP8-077,
29,60.4.4.2.2,Height Limit for Other Vehicles,77 mm for other vehicles.,SRP8-077,Inspection
30,60.4.5,,Geometric visibility,SRP8-077,
31,60.4.5.1,Reference Axis Orientation,The reference axis of the lamp when fitted to the vehicle must be parallel to the bearing plane of the vehicle on the road and lie in the median longitudinal plane of the vehicle.,SRP8-077,Inspection
32,60.4.5.1.1,Vertical Visibility Angle,Vertical: from 10o above to 5o below the horizontal.,SRP8-077,Test
33,60.4.5.1.2,Horizontal Visibility Angle,Horizontal: from 10o to the left to 10o to the right.,SRP8-077,Test
34,60.4.6,Lamp Orientation,Orientation Rearwards.,SRP8-077,Inspection
35,60.4.7,No Grouping with Other Lamps,"May not be ""grouped"" with any other lamp.",SRP8-077,Inspection
36,60.4.8,No Combining with Other Lamps or Reflectors,"May not be ""combined"" with any other lamp or reflective device.",SRP8-077,Inspection
37,60.4.9,No Reciprocal Incorporation,"May not be ""reciprocally incorporated"" with any other lamp.",SRP8-077,Inspection
38,60.4.10,Brake-Only Activation,Electrical Operation shall be activated upon and only upon application of the service brakes.,SRP8-077,Test
39,60.4.11,,Tell-tale Optional.,SRP8-077,
40,60.4.12,Rear Window Reflection Control,"Other requirements If the lamp is mounted inside the vehicle, it must be shrouded to the glass or other means must be provided to minimise reflections from the light of the lamp upon the rear window glazing that might be visible to the driver when viewed directly, or indirectly, in the rear vision mirror.",SRP8-077,Inspection
