Checklist,Clause,Req Name,Details,Project ID,Verification Method
89,ADR,,Below are the ADR specific reqs (UN regs will be located after next N/A in checklist),,
1,5.1 (a),Non-essential exterior object,"Vehicles must not be equipped with: (a) any exterior object or fitting, not technically essential to such vehicle, which protrudes from any part of the vehicle so that it is likely to increase the risk of bodily injury to any person; or",SRP8-167,Inspection
3,5.1 (a),Non-essential exterior object,"Vehicles must not be equipped with: (a) any exterior object or fitting, not technically essential to such vehicle, which protrudes from any part of the vehicle so that it is likely to increase the risk of bodily injury to any person; or",SRP8-170,Inspection
5,5.1 (a),Non-essential exterior object,"Vehicles must not be equipped with: (a) any exterior object or fitting, not technically essential to such vehicle, which protrudes from any part of the vehicle so that it is likely to increase the risk of bodily injury to any person; or",SRP8-173,Inspection
6,5.1 (b),Essential exterior object,"Vehicles must not be equipped with: (b) any exterior object or fitting, technically essential to such vehicle, unless its design, construction and conditions and the manner in which it is affixed to the vehicle are such as to reduce to a minimum the risk of bodily injury to any person; or",SRP8-167,Inspection
8,5.1 (b),Essential exterior object,"Vehicles must not be equipped with: (b) any exterior object or fitting, technically essential to such vehicle, unless its design, construction and conditions and the manner in which it is affixed to the vehicle are such as to reduce to a minimum the risk of bodily injury to any person; or",SRP8-170,Inspection
9,5.1 (b),Essential exterior object,"Vehicles must not be equipped with: (b) any exterior object or fitting, technically essential to such vehicle, unless its design, construction and conditions and the manner in which it is affixed to the vehicle are such as to reduce to a minimum the risk of bodily injury to any person; or",SRP8-173,Inspection
10,5.1 (c),Sharp exterior object,"Vehicles must not be equipped with: (c) any exterior object or fitting which, because it is pointed or has a sharp edge, is likely to increase the risk of bodily injury to any person; or",SRP8-167,Inspection
11,5.1 (c),Sharp exterior object,"Vehicles must not be equipped with: (c) any exterior object or fitting which, because it is pointed or has a sharp edge, is likely to increase the risk of bodily injury to any person; or",SRP8-170,Inspection
12,5.1 (d),End of bumper bar requirement,Vehicles must not be equipped with: (d) any bumper bar the end of which is not turned towards the body of the vehicle to a sufficient extent to avoid any risk of hooking or grazing.,,
90,5.2,Appendix A requiements outline,"Category MA, MB and MC vehicles, which meet the requirements of Appendix A as varied by Section 6 Exemptions and Alternative Procedures, will be deemed to comply with this rule.",,
91,UN regs,Appendix A requirements start below,"This Regulation applies to external projections of category M1 vehicles. It does not apply to exterior devices for indirect vision or to the ball of towing devices.
1.2 The purpose of this Regulation is to reduce the risk or seriousness of bodily injury to a person hit by the bodywork or brushing against it in the event of a collision. This is valid both when the vehicle is stationary and in motion.",,
17,5.1,Parts of external surface ADR 92 does not apply to,"The provisions of this Regulation shall not apply to those parts of the external surface which, with the vehicle in the laden condition, with all doors, windows and access lids etc., in the closed position, are either:
5.1.1. At a height of more than 2 metres, or
5.1.2. Below the floor line, or
5.1.3. So located that, in their static condition as well as when in operation, they cannot be contacted by a sphere 100 mm in diameter.",SRP8-064,Inspection + demonstration
18,5.1,Parts of external surface ADR 92 does not apply to,"The provisions of this Regulation shall not apply to those parts of the external surface which, with the vehicle in the laden condition, with all doors, windows and access lids etc., in the closed position, are either:
5.1.1. At a height of more than 2 metres, or
5.1.2. Below the floor line, or
5.1.3. So located that, in their static condition as well as when in operation, they cannot be contacted by a sphere 100 mm in diameter.",SRP8-172,Inspection + demonstration
19,5.2,No sharp parts,"The external surface of vehicles shall not exhibit, directed outwards, any pointed or sharp parts or any projections of such shape, dimensions, direction or hardness as to be likely to increase the risk or seriousness of bodily injury to a person hit by the external surface or brushing against it in the event of a collision.",SRP8-167,Analysis / Inspection
20,5.2,No sharp parts,"The external surface of vehicles shall not exhibit, directed outwards, any pointed or sharp parts or any projections of such shape, dimensions, direction or hardness as to be likely to increase the risk or seriousness of bodily injury to a person hit by the external surface or brushing against it in the event of a collision.",SRP8-170,Analysis / Inspection
92,5.3,No catching,"The external surface of vehicles shall not exhibit, directed outwards, any part likely to catch on pedestrians, cyclists or motor cyclists.",SRP8-167,Inspection + Analysis
