Checklist,Clause,Req Name,Details,Project ID,Verification Method
42,6.2.2.2.1,CMS functionality under sunlight,"The camera shall function well in conditions in which sunlight falls on the camera. The saturated area, defined as the area in which the luminance contrast ratio (C=Lw/Lb) of a high contrast pattern falls below 2.0, shall not cover more than 15 per cent of the displayed image under the conditions of paragraphs 6.2.2.2.1.1. to 6.2.2.2.1.4. below.
In the case the camera system shows dynamical changes in the blooming area during the test the maximum blooming area shall fulfill the requirements.",SRP8-024,
43,6.2.2.3.3.6.2,,,SRP8-024,
44,6.2.2.3.3.7,maximum field of view,"For CMS of Classes I, II and III the maximum distortion within the minimum required field of view shall not exceed 20 per cent relative to recto-linear or pinhole projection.",SRP8-024,
45,6.2.2.3.4.1,frame rate,"Movements of objects in front of the camera shall be rendered smooth and fluid. The minimum frame rate of the system (update rate of the image information) shall be at least 30 Hz. At low light conditions or while maneuvering at low speed, the minimum frame rate of the system (i.e. update rate of the image information) shall be at least 15 Hz.",SRP8-024,
46,6.2.2.3.4.2,image formation time,"The image formation time of the monitor shall be less than 55 ms at a temperature of 22 °C ± 5 °C.
This performance shall be tested according to the method given in
ISO 9241-305:2008.",SRP8-024,
47,6.2.2.3.4.3,system latency,A CMS shall have a sufficient short latency to render the scenery nearly at the same time. The latency shall be lower than 200 ms at room temperature 22 °C ± 5 °C.,SRP8-024,
48,6.2.2.3.5.1,Glare due to high luminance of the monitor,"In order to avoid glare from a high luminance of the monitor, the luminance shall be dimmable in the night condition either manually or automatically.",SRP8-024,
49,6.2.3,Other devices for indirect vision,It has to be proved that the device meets the following requirements:,SRP8-024,
50,6.2.3.1,,The device shall perceive the visual spectrum and shall always render this image without the need for interpretation into the visual spectrum.,SRP8-024,
51,6.2.3.2,,The functionality shall be guaranteed under the circumstances of use in which the system shall be put into service. Depending on the technology used in obtaining images and presenting them paragraph 6.2.2.2. above shall be entirely or partly applicable. In other cases this can be achieved by establishing and demonstrating by means of system sensitivity analogous to paragraph 6.2.2.2. above that a function is ensured that is comparable to or better than what is required for and by demonstrating that a functionality is guaranteed that is equivalent or better than that required for mirror- or camera-monitor type devices for indirect vision.,SRP8-024,
52,15.1.2,Device stability,Devices for indirect vision shall be fitted in such a way that the devices do not move so as significantly to change the field of vision as measured or vibrate to an extent which would cause the driver to misinterpret the nature of the image perceived.,SRP8-024,
53,15.1.3,Device stability conditions,"The conditions laid down in paragraph 15.1.2. above shall be maintained when the vehicle is moving at speeds of up to 80 per cent of its maximum design speed, but not exceeding 150 km/h.",SRP8-024,
54,15.1.4,Field of vision,"The fields of vision defined below shall be established using ambinocular vision, the eyes being at the ""driver's ocular points"" as defined in paragraph 12.1. above. The fields of vision shall be determined when the vehicle is in running order as defined in the consolidated Resolution on the Construction of vehicles (R.E.3) (ECE/TRANS/WP.29/78/Rev.4, para. 2.2.5.4.), plus for M1 and N1 vehicles one front seat passenger (75 kg). When established through windows, the glazing shall have a total light transmission factor in accordance with Regulation No. 43, Annex 21.",SRP8-024,
55,15.2.1.1.2,Display field,"In the case a camera-monitor system is used for rendering (the) field(s) of vision, the relevant field(s) of vision shall be permanently visible to the driver when the ignition is on or the vehicle master control switch is activated (whichever is applicable) and not used for other information. However, when the vehicle is moving forward at a speed above 10 km/h or backwards, the monitor or the part of the monitor intended for rendering the Class VI field of vision may be used for other information. Multiple images may be used or displayed provided that the monitor has been approved in this mode.",SRP8-175,
56,15.2.1.1.2,Display field,"In the case a camera-monitor system is used for rendering (the) field(s) of vision, the relevant field(s) of vision shall be permanently visible to the driver when the ignition is on or the vehicle master control switch is activated (whichever is applicable) and not used for other information. However, when the vehicle is moving forward at a speed above 10 km/h or backwards, the monitor or the part of the monitor intended for rendering the Class VI field of vision may be used for other information. Multiple images may be used or displayed provided that the monitor has been approved in this mode.",SRP8-024,
57,15.2.2.1,Driver must see vehicle front/sides clearly when seated,"Devices for indirect vision shall be so placed that the driver, when sitting on the driving seat in a normal driving position, has a clear view of the road to the rear, side(s) or front of the vehicle.",SRP8-024,
58,15.2.2.2,Mirrors must be visible through side windows / windscreen,"Classes II to VII mirrors shall be visible through the side windows or through the portion of the windscreen that is swept by the windscreen wiper. Nevertheless, for design reasons, this last provision (i.e. the provisions relating the cleaned part of the windscreen) shall not apply to:
(a) Classes II to VII mirrors on the passenger side and optional exterior mirrors on the driver side of vehicles of categories M2 and M3;
(b) Class VI front-view mirrors.",,
59,15.2.2.4,Mirror angle relative to longitudinal vehicle plane,"The prescribed Classes II, III, IV and VII mirror or monitor on the driver's side of the vehicle shall be so located that an angle of not more than 55° is formed between the vertical longitudinal median plane of the vehicle and the vertical plane passing through the centre of the mirror or monitor and through the centre of the straight line 65 mm long which joins the driver's two ocular points.",,
60,15.2.2.5,Devices must not extend more than necessary,Devices for indirect vision shall not project beyond the external bodywork of the vehicle substantially more than is necessary to comply with the requirements concerning fields of vision laid down in paragraph 15.2.4. below.,SRP8-024,
61,15.2.2.6,Mirror projection when vehicle is loaded,"Where the lower edge of a Classes II to VII mirror is less than 2 m above the ground when the vehicle is loaded to its technically permissible maximum laden mass, this mirror shall not project more than 250 mm beyond the overall width of the vehicle measured without mirrors.",,
62,15.2.2.7,Mirror's height above ground,"Class V and Class VI mirrors shall be mounted on vehicles in such a way that, regardless of their position after adjustment, no part of these mirrors or their holders is less than 2 m from the ground when the vehicle is under a load corresponding to its technically permissible maximum laden mass. These mirrors shall not, however, be mounted on vehicles the cab height of which is such as to prevent compliance with this requirement. In this case another device for indirect vision is not mandatory.",,
63,15.2.2.9,Mirror stability,All Class VII mirrors shall be attached in such a way that they remain in a stable position under normal vehicle driving conditions.,,
64,15.2.3.1,Mirror Adjustability,"If a Class I mirror is fitted, it shall be capable of being adjusted by the driver from the driving position.",,
65,15.2.3.2,Mirror Adjustability,"If a Class II, III, IV or VII mirror is fitted on the driver's side, it shall be capable of being adjusted from inside the vehicle while the door is closed, although the window may be open. The mirror may, however, be locked in position from the outside.",,
66,15.2.3.3,Knocked-out mirrors must return to preset position,"The requirements of paragraph 15.2.3.2. above do not apply to mirrors which, after having been knocked out of alignment, can be returned to their former position without the need for adjustment.",,
67,15.2.4.1,Class I rear-view device,"The field of vision shall be such that the driver can see at least a 20 m wide, lat, horizontal portion of the road centred on the vertical longitudinal median plane of the vehicle and extending from 60 m behind the driver's ocular points (Figure 4) to the horizon.",SRP8-024,
69,15.2.4.2.1,Field of vision,"Main rear-view device on the driver's side The field of vision shall be such that the driver can see at least a 5 m wide, flat, horizontal portion of the road, which is bounded by a plane which is parallel to the median longitudinal vertical plane and passing through the outermost point of the vehicle on the driver's side of the vehicle and extends from 30 m behind the driver's ocular points to the horizon. In addition, the road shall be visible to the driver over a width of 1 m, which is bounded by a plane parallel to the median longitudinal vertical plane and passing through the outermost point of the vehicle starting from a point 4 m behind the vertical plane passing through the driver's ocular points (see Figure 5).",SRP8-024,
70,16.1.1,"Intended use, activation and deactivation",The intended use shall be mentioned within the operator's manual. The procedure for activation and deactivation of the CMS of Classes II and III shall allow a safe use of the vehicle.,SRP8-024,
71,16.1.1,CMS activation,"The CMS shall be activated when the vehicle is opened (e.g. unlocking of the doors, opening of a front door or any other means by the choice of the manufacturer).
In addition to the requirements mentioned in paragraph 15.2.1.1.2., after each engine switch-off the system shall remain operational for a period of at least T1 = 120 s. After T1 period and for a period of at least T2 = (420-T1) seconds the system shall be able to be reactivated such that the required field of vision is made available within 1 second by manoeuvring any front door opening automatically and, if available, manually by the driver. After T2 period the system shall be able to be reactivated within 7 seconds (e.g. by initiating any front door opening process).
Notwithstanding the provisions above, any other concept to activate or deactivate the system shall be demonstrated to the satisfaction of the Technical Service within the safety concept that is provided according to the provisions in Annex 12, paragraph 2.",SRP8-175,
72,16.1.1,CMS activation,"The CMS shall be activated when the vehicle is opened (e.g. unlocking of the doors, opening of a front door or any other means by the choice of the manufacturer).
In addition to the requirements mentioned in paragraph 15.2.1.1.2., after each engine switch-off the system shall remain operational for a period of at least T1 = 120 s. After T1 period and for a period of at least T2 = (420-T1) seconds the system shall be able to be reactivated such that the required field of vision is made available within 1 second by manoeuvring any front door opening automatically and, if available, manually by the driver. After T2 period the system shall be able to be reactivated within 7 seconds (e.g. by initiating any front door opening process).
Notwithstanding the provisions above, any other concept to activate or deactivate the system shall be demonstrated to the satisfaction of the Technical Service within the safety concept that is provided according to the provisions in Annex 12, paragraph 2.",SRP8-024,
73,16.1.1.1,CMS Default view,"Default view
In default view the CMS shall show the field of view at least as defined in paragraph 15.2.4., with at least the required magnification and resolution as defined in paragraph 16.1.3.
In the case of mirror and CMS dual function system of Class I, the CMS mode shall be set by the driver. Activation and deactivation device shall be located directly on the mirror and CMS dual function system.",SRP8-024,
74,16.1.1.1.1,Temporarily modified view,"To enable an improved view in special manoeuvres (e.g. where in the case of conventional mirrors the field of view is usually changed by the driver moving their head to achieve incident angle to the mirror), it shall be permitted to change temporarily the field of view, so that the requirements laid down in paragraphs 15.2.4. (field of vision) and 16.1.3. (magnification and resolution) may not be fulfilled during this temporarily modified view.
The operation of this function shall be intuitive to the driver and not cause additional safety risks such as additional blind spots. In the case of articulated vehicles, this includes an adaptation of the modified view to cover the full length of the vehicle combination. The operation of the function shall cease, when the maneuver has been completed and the CMS shall return to the default view.
It shall be indicated to the driver, that a temporarily modified view is displayed. At any time, the driver shall be able to deactivate the function. The operator’s manual shall inform the driver accordingly.”
The vehicle manufacturer shall demonstrate the improvement of the view by an analysis to the satisfaction of the Technical Service and the Type Approval Authority.",SRP8-175,
75,16.1.1.1.1,Temporarily modified view,"To enable an improved view in special manoeuvres (e.g. where in the case of conventional mirrors the field of view is usually changed by the driver moving their head to achieve incident angle to the mirror), it shall be permitted to change temporarily the field of view, so that the requirements laid down in paragraphs 15.2.4. (field of vision) and 16.1.3. (magnification and resolution) may not be fulfilled during this temporarily modified view.
The operation of this function shall be intuitive to the driver and not cause additional safety risks such as additional blind spots. In the case of articulated vehicles, this includes an adaptation of the modified view to cover the full length of the vehicle combination. The operation of the function shall cease, when the maneuver has been completed and the CMS shall return to the default view.
It shall be indicated to the driver, that a temporarily modified view is displayed. At any time, the driver shall be able to deactivate the function. The operator’s manual shall inform the driver accordingly.”
The vehicle manufacturer shall demonstrate the improvement of the view by an analysis to the satisfaction of the Technical Service and the Type Approval Authority.",SRP8-024,
76,16.1.1.2,Luminance and contrast adjustment,"If manual adjustment is provided, the operator's manual shall provide information on how to change the luminance/contrast.",SRP8-024,
77,16.1.1.3,Overlay requirements within the minimum required field of vision,"Overlays shall display only safety-related rearward vision information.
All overlays shall be considered as an obstruction regardless of their transparency.
Each overlay shall not exceed 2.5 per cent of the required field of view displayed surface of the corresponding class.
The total surface of all obstructions shall not exceed the provision of paragraph 15.2.4.9.1. or 15.2.4.9.2. at the same time.
Overlay and any other obstruction surface shall be determined (for example on screenshots) taking into account the worst case(s).",SRP8-024,
78,16.1.2,Operating readiness (System availability),"Non-operation of the system shall be recognizable to the driver is (e.g. CMS failure by, i.e. warning indication, display information, absence of status indicator). The information for the driver shall be explained in the operator's manual.",SRP8-175,
79,16.1.2,Operating readiness (System availability),"Non-operation of the system shall be recognizable to the driver is (e.g. CMS failure by, i.e. warning indication, display information, absence of status indicator). The information for the driver shall be explained in the operator's manual.",SRP8-024,
80,16.1.3.1,Magnification factor,"The minimum and the average magnification factors of the CMS, in both horizontal and vertical directions shall not be lower than magnification factors indicated below.",SRP8-024,
81,,,"The minimum magnification factor shall not be less than:
(a) for Class I: 0.31;
(b) for Class II (driver's side): 0.26;
(c) for Class III (driver's side): 0.29;
(d) for Class IV (driver's side): 0.054;
(e) for Class II (passenger's side): 0.13;
(f) for Class III (passenger's side): 0.19;
(g) for Class IV (passenger's side): 0.016.",SRP8-024,
82,,,"The average magnification factor shall not be less than:
(h) for Class I: 0.33;
(i) for Class II (driver's side): 0.31;
(j) for Class III (driver's side): 0.31;
(k) for Class IV (driver's side): 0.091;
(l) for Class II (passenger's side): 0.16;
(m) for Class III (passenger's side): 0.20;
(n) for Class IV (passenger's side): 0.046.",SRP8-024,
83,16.1.5.1,Monitor's (in the car) position,"The centre of the monitor(s) shall not be below a plane passing through the driver's ocular points, as defined in paragraph 12.1., and declined 30° below.",SRP8-024,
84,16.1.5.2,Monitor's (in the car) position,"The arrangement of the monitor(s) inside the vehicle shall be convenient to the driver.
Thus, the image of the right-side field of view shall be presented to the right of the longitudinal vertical plane through the ocular reference point, defined in paragraph 12.6. The image of the left side field of view shall be presented to the left of the longitudinal vertical plane through the ocular reference point.
If the CMS shows more than one field of vision on the same display, non-continuous images shall be clearly separated from each other. If the field of vision from different classes of devices for indirect vision are shown on the monitor(s) without hiding any part of the required field of vision, a combined continuous image is allowed. In this case, a clear separation of the different fields of vision is not necessary and any changes in magnification may be indicated to the driver using indication lines. Indication lines shall not hide information.",SRP8-024,
85,16.2.2,View obstruction,Obstruction of the driver's direct view caused by the installation of a device for indirect vision shall be restricted to a minimum.,SRP8-024,
86,16.2.3,Installation requirements for the monitor,The viewing direction of the monitor shall roughly be the same direction as the one for the main mirror.,SRP8-024,
