Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,6.1.1.1,Mirror Adjustability,All mirrors shall be adjustable.,,
2,6.1.1.2.(a),Class II–VII Mirror Edge Protection,"Rear-view mirrors (Classes II to VII)
The edge of the reflecting surface shall be enclosed in a protective housing (holder, etc.) which, on its perimeter, shall have a value ""c"" greater than or equal to 2.5 mm at all points and in all directions. If the reflecting surface projects beyond the protective housing, the radius of curvature ""c"" on the edge of the projecting part shall be not less than 2.5 mm and the reflecting surface shall return into the protective housing under a force of 50 N applied to the point of greatest projection, relative to the protective housing, in a horizontal direction, approximately parallel to the longitudinal median plane of the vehicle.",,
3,6.1.1.2. (b),Class I Mirror Edge Protection,"Rear-view mirrors (Class I)
In cases, where the edge of the reflecting surface is enclosed in a protective housing (holder, etc.), the radius of curvature ""c"" on its perimeter shall be not less than 2.5 mm at all points and in all directions. In cases, where the edge of the reflecting surface projects beyond the protective housing, this requirement shall apply to the edge of the projecting part.",,
4,6.1.1.3,Mirror Surface Radius of Curvature,"When the mirror is mounted on a plane surface, all parts, irrespective of the adjustment position of the device, including those parts remaining attached to the support after the test provided for in paragraph 6.3.2. below, which are in potential, static contact with a sphere either 165 mm in diameter in the case of a Class I mirror or 100 mm in diameter in the case of a Class II to VII mirror, shall have a radius of curvature 'c' of not less than 2.5 mm.",,
5,6.1.1.4,Exemptions for Protruding Mirror Parts,"The requirements in paragraphs 6.1.1.2. and 6.1.1.3. above shall not apply to parts of the external surface which protrude less than 5 mm, but the outward facing angles of such parts shall be blunted, save where such parts protrude less than 1.5 mm. For determining the dimension of the projection, the following method shall apply:",,
6,6.1.1.4.1,Projection Measurement on Convex Surfaces,The dimension of the projection of a component which is mounted on a convex surface may be determined either directly or by reference to a drawing of an appropriate section of this component in its installed condition.,,
7,6.1.1.4.2,Projection Measurement on Non-Convex Surfaces,"If the dimension of the projection of a component which is mounted on a surface other than convex cannot be determined by simple measurement, it shall be determined by the maximum variation of the distance of the centre of a 100 mm diameter sphere from the nominal line of the panel when the sphere is moved over and is in constant contact with that component.
Figure 1 shows an example of the use of this procedure.",,
9,6.1.1.5,Blunted Fixing Hole Edges,Edges of fixing holes or recesses of which the diameter or longest diagonal is less than 12 mm are exempt from the radius requirements of paragraph 6.1.1.3. above provided that they are blunted.,,
10,6.1.1.6,Mirror Attachment Deflection Radius,"The device for the attachment of mirrors to the vehicle shall be so designed that a cylinder with a 70 mm radius (50 mm in the case of an L-category vehicle), having as its axis the axis, or one of the axes, of pivot or rotation which ensures deflection of the mirror in the direction of impact concerned, passes through at least part of the surface to which the device is attached.",,
11,6.1.1.7,Soft Material Exemption (Class II–VII Mirrors),The parts of Classes II to VII mirrors referred to in paragraphs 6.1.1.2. and 6.1.1.3. above which are made of a material with a Shore A hardness not exceeding 60 are exempt from the relevant provisions.,,
13,6.1.2.1.2.1,Class II–III Mirror Rectangle Inscription Criteria,The dimensions of the reflecting surface shall be such that it is possible to inscribe therein:,,
14,6.1.2.1.2.1. (a),Class II–III Mirror Base Length Requirement,"A rectangle 40 mm high the base length of which, measured in millimetres, has the value ""a"";",,
15,6.1.2.1.2.1. (b),Class II–III Mirror Segment Height Requirement,"A segment which is parallel to the height of the rectangle and the length of which, expressed in millimetres, has the value ""b"".",,
17,6.1.2.1.3,Class IV Wide-Angle Mirror Dimensions,"""Wide-angle"" view mirrors (Class IV)
The contours of the reflecting surface shall be of simple geometric form and its dimensions such that it provides, if necessary in conjunction with a Class II exterior mirror, the field of vision specified in paragraph 15.2.4.4. of this Regulation.",,
18,6.1.2.1.4,Class V Close-Proximity Mirror Dimensions,"""Close-proximity"" view mirrors (Class V)
The contours of the reflecting surface shall be of simple geometric form and its dimensions such that the mirror provides the field of vision specified in paragraph 15.2.4.5. of this Regulation.",,
19,6.1.2.1.5,Class VI Front-View Mirror Dimensions,"Front-view mirrors (Class VI)
The contours of the reflecting surface shall be of simple geometric form and its dimensions such that the mirror provides the field of vision specified in paragraph 15.2.4.6. of this Regulation.",,
20,6.1.2.1.6.1,Class VII Mirror Minimum Dimensions,"""Main"" rear-view mirrors (Class VII).",,
21,,,The minimum dimensions of the reflecting surface shall be such that:,,
22,,,"(a) Its area shall not be less than 6,900 mm2;
(b) The diameter of circular mirrors shall not be less than 94 mm;
(c) Where rear-view mirrors are not circular, their dimensions shall enable a 78 mm-diameter circle to be prescribed on their reflecting surface.",,
23,,,The maximum dimensions of the reflecting surface shall be such that:,,
24,,,"(a) The diameter of any circular rear-view mirror shall not be greater than 150 mm;
(b) The reflecting surface of any non-circular rear-view mirror shall lie within a rectangle measuring 120 mm x 200 mm.",,
25,6.1.2.2.1,Mirror Surface Type (Flat or Convex),The reflecting surface of a mirror shall be either flat or convex. Exterior mirrors may be equipped with an additional aspherical part provided that the main mirror fulfils the requirements of the indirect field of vision.,,
26,6.1.2.2.2.1,Max Deviation Between ri/r’i and rp,"The difference between ri or r'i, and rp at each reference point shall not exceed 0.15 r.",,
27,6.1.2.2.2.2,Max Deviation Between rp1/rp2/rp3 and r,"The difference between any of the radii of curvature (rp1, rp2, and rp3) and r shall not exceed 0.15 r.",,
28,6.1.2.2.3.1,Aspherical Mirror Minimum Width,Aspherical mirrors shall be of sufficient size and shape to provide useful information to the driver. This normally means a minimum width of 30 mm at some point.,,
29,6.1.2.2.3.2,Aspherical Mirror Radius Minimum,The radius of curvature ri of the aspherical part shall not be less than 150 mm.,,
30,6.1.2.2.4,"Value of ""r"" for spherical mirrors","Value of ""r"" for spherical mirrors shall not be less than:",,
31,6.1.2.2.4.1,,"1,200 mm for rear-view mirrors (Class I);",,
32,6.1.2.2.4.2,,"1,200 mm for Class II and III main rear-view mirrors;",,
33,6.1.2.2.4.3,,"300 mm for ""wide-angle"" mirrors (Class IV) and ""close-proximity"" mirrors (Class V);",,
34,6.1.2.2.4.4,,200 mm for front mirrors (Class VI).,,
35,6.1.2.2.4.5,,"1,000 mm or more than 1,500 mm for Class VII main rear-view mirrors.",,
36,6.1.2.2.5,Minimum reflection coefficient,"The value of the normal coefficient of reflection, as determined according to the method described in Annex 6, shall be not less than 40 per cent.
In the case of reflecting surfaces with a changeable degree of reflection, the ""day"" position shall allow the colours of the signals used for road traffic to be recognized. The value of the normal coefficient of reflection in the ""night"" position shall be not less than 4 per cent.",,
37,6.1.2.2.6,Retention of reflection characteristics in adverse weather,The reflecting surface shall retain the characteristics laid down in paragraph 6.1.2.2.5. above in spite of prolonged exposure to adverse weather conditions in normal use.,,
38,6.2.1.1,Devices being adjustable by user without tools,"If adjustment by the user is needed, the device for indirect vision shall be adjustable without the use of tools.",SRP8-024,
39,6.2.1.2,,"If a device for indirect vision can only render the total prescribed field of vision by scanning the field of vision, the total process of scanning, rendering and reset to its initial position together shall not take more than 200 milliseconds at room temperature of 22 °C ± 5 °C.",SRP8-024,
40,6.2.1.3,CMS effectiveness,"The effectiveness of the CMS of Classes I to IV shall not be adversely affected by magnetic or electrical fields. This shall be demonstrated by compliance with the technical requirements and transitional provisions of Regulation No. 10, 04 series of amendments or any later series of amendments.",SRP8-024,
41,6.2.2.1.1,"CMS radius curvature, when mounted","When the devices of the camera-monitor system are mounted in the position recommended by the manufacturer for normal driving, all parts, irrespective of the adjustment position of the device which are in potential, static contact with a sphere either 165 mm in diameter in the case of a CMS or parts of CMS installed inside the vehicle or 100 mm in diameter in the case of a CMS or parts of CMS installed outside the vehicle, shall have a radius of curvature ""c"" of not less than 2.5 mm.",SRP8-024,
