Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,4.1,Direction Indicators Compliance,"Direction indicators fitted to vehicles in accordance with ADRs 13/…, 19/… or 67/… and required to comply with ADR 6/00 must comply with either:",SRP8-013,Inspection
2,"4.1 a), 4.1 b)",Technical Requirements/Alternative Standards Compliance,a) The technical requirements of Appendix A as varied by part 5. Exemptions and Alternative Procedures and part 6. Supplementary General Requirements; or b) One of the alternative standards listed in part 7. Alternative Standards.,SRP8-013,NA
3,6.1,Procedures for Compliance,The requirements and procedures set out in Annexes 6 and 7 of Appendix A are acceptable for the purposes of demonstrating compliance with the technical requirements of this rule.,SRP8-013,NA
4,"Appendix A, 5.1",Device Specifications,Each device supplied shall conform to the specifications set forth in paragraphs 6. and 8. below.,SRP8-013,NA
5,"Appendix A, 5.2",Functional Reliability,"The devices must be so designed and constructed that under normal conditions of use and notwithstanding the vibrations to which they may be subjected in such use, their satisfactory operation remains assured and they retain the characteristics prescribed by this Regulation.",SRP8-013,Analysis
6,"Appendix A, 6.1",Light Intensity Limits,"The light emitted by each of the two devices supplied must be in the case of direction indicators of categories 1, 1a, 1b, 2a, 2b, 3 or 4 in the reference axes, in the case of direction indicators of categories 5 or 6 in direction A according to Annex 1 of not less than the minimum intensity and of not more than the maximum intensity specified below:",SRP8-013,Test
6,"Appendix A, 6.1",Light Intensity Limits (Values),,SRP8-013,Test
23,"Appendix A, 6.1 3/",Light Intensity Limits (extra condition),"In the case of a single lamp containing more than one light source: the lamp shall comply with the minimum intensity required when any one light source has failed, however for front or rear direction indicator lamps 50% of the minimum intensity in the axis of reference of the lamp shall be considered sufficient provided that a note in the communication form states that the lamp is only for use on a vehicle fitted with an operating tell-tale which indicates when any one or more light source(s) has (have) failed, and when all light sources are illuminated the maximum intensity specified for a single lamp may be exceeded provided that the single lamp is not marked ''D'' and the maximum intensity specified for an assembly of two lamps (last column of the table) is not exceeded.",SRP8-013,NA
7,"Appendix A, 6.2",Angular Field Intensity,"Outside the reference axis, within the angular fields specified in the arrangement diagrams in Annex 1 to this Regulation, the intensity of the light emitted by each of the two devices supplied must:",SRP8-013,Test
8,"Appendix A, 6.2.1",Minimum Intensity by Direction,"In each direction corresponding to the points in the relevant table of luminous-intensity distribution reproduced in Annex 4 to this Regulation, be not less than the minimum specified in paragraph 6.1. above multiplied by the percentage specified in the said table for the direction in question;",SRP8-013,Test
9,"Appendix A, 6.2.1.1",Rear Direction Indicators Minimum Intensity,"In divergence from paragraphs 6.2. and 6.2.1., for categories 4 and 5 direction indicators, to the rear, a minimum value of 0.6 cd is required throughout the fields specified in Annex 1;",SRP8-013,Test
10,"Appendix A, 6.2.2",Maximum Intensity Compliance,"In no direction within the area from which the indicator lamp is visible, exceed the maximum specified in paragraph 6.1. above;",SRP8-013,Test
11,"Appendix A, 6.2.3.1",Day/Night Intensity Minimum,"Throughout the fields defined in the diagrams in Annex 1, the intensity of the light emitted must be not less than 0.7 cd for devices of category 1 b, not less than 0.3 cd for devices of categories 1, 1a, 2a, 3, 4 towards the front and for those of category 2b by day; it shall not be less than 0.07 cd for devices of category 2b by night;",SRP8-013,Test
12,"Appendix A, 6.2.3.2",Field Boundaries Intensity Limits,"For devices of categories 1 and 2b by night and, to the front, for devices of categories 3 and 4, the intensity of the light emitted outside the zone defined by the measuring points +/- 10 degrees H and +/- 10 degrees V (10 degrees -field) must not exceed the following values: Between the boundaries of the 10 degrees -field (+/- 10 degrees H and +/- 10 degrees V) and the 5 degrees -field (+/- 5 degrees H and +/- 5 degrees V), the maximum admissible values of the intensities are linearly increased up to the values as defined in paragraph 6.1.;",SRP8-013,Test
13,"Appendix A, 6.2.3.3",Extended Field Intensity Limits,"For devices of category 1a and 1 b, the intensity of the light emitted outside the zone defined by the measuring points +/- 15 degrees H and +/- 15 degrees V (15 degrees - field) shall not exceed the following values: Between the boundaries of the 15 degrees -field (+/- 15 degrees H and +/- 15 degrees V) and the 5 degrees -field (+/- 5 degrees H and +/- 5 degrees V), the maximum values are increased linearly up to the values as defined in paragraph 6.1.",SRP8-013,Test
14,"Appendix A, 6.4",Light Output Response Time,In the case of devices of category 2b the time that elapses between electrical supply being switched on and the light output measured on the reference axis to reach 90% of the value measured in accordance with paragraph 6.3. above shall be measured for both the day and the night conditions of use. The time measured for the night condition of use shall not exceed that measured for the day condition of use.,SRP8-013,Test
15,"Appendix A, 8",Light Color Compliance,The colour of the light emitted shall be within the limits of the co-ordinates prescribed in Annex 5 to this Regulation.,SRP8-013,Test
16,Annex 1,Minimum Vertical and Horizontal Angles,"In all cases, the minimum vertical angles of light distribution in space of direction indicators are 15 degrees above and 15 degrees below the horizontal, in the case of direction indicators of category 6 however they are 30 degrees above and 5 degrees below the horizontal.
Minimum horizontal angles of light distribution in space:
Categories 1, 1 a and 1 b: direction indicators for the front of the vehicle:
Category 1: for use at a distance not less than 40 mm from the headlamp;
Category 1a: for use at a distance greater than 20 mm but less than 40 mm from the headlamp;
Category 1b: for use at a distance less than 20 mm from the headlamp.",SRP8-013,Inspection
