Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5.1.1. (c),Protection Against Electric Shock During Disconnection,(c) The voltage of the live parts becomes equal or below 60 V DC or equal or below 30 V AC (rms) within 1 s after the connector is separated.,SRP8-021,Test
2,"5.1.1.1., 5.1.1.2.",Ingress Protection Requirements for High Voltage Live Parts,"5.1.1.1. For high voltage live parts inside the passenger compartment or luggage compartment, the protection degree IPXXD shall be provided.
5.1.1.2. For high voltage live parts in areas other than the passenger compartment or luggage compartment, the protection degree IPXXB shall be provided.",SRP8-018,Test
3,5.1.1.3,Protection Requirements for Tool-Free High Voltage Service Disconnects,"For a high voltage service disconnect which can be opened, disassembled or removed without tools, or for vehicles of categories N2, N3, M2 and M3, an operator controlled activation/deactivation device or equivalent, protection degree IPXXB shall be satisfied when it is opened, disassembled or removed.",SRP8-016,Test
4,5.1.1.4.1,High Voltage Warning Symbol Requirement for REESS,"The symbol shown in Figure 2 shall be present on or near the REESS having high voltage capability. The symbol background shall be yellow, the bordering and the arrow shall be black.",SRP8-018,Inspection
5,5.1.2.2,Electrical Continuity and Bonding Resistance,"5.1.2.2. The resistance between all exposed conductive parts and the electrical chassis shall be lower than 0.1 Ω when there is current flow of at least 0.2 amperes.
The resistance between any two simultaneously reachable exposed conductive parts of the electrical protection barriers that are less than 2.5 m from each other shall not exceed 0.2 Ω. This resistance may be calculated using the separately measured resistances of the relevant parts of electric path.",SRP8-018,Annex 4
6,5.1.3.1,Minimum Isolation Resistance Between High Voltage Buses and Chassis,"If AC high voltage buses and DC high voltage buses are galvanically isolated from each other, isolation resistance between the high voltage bus and the electrical chassis shall have a minimum value of 100 Ω/volt of the working voltage for DC buses, and a minimum value of 500 Ω/volt of the working voltage for AC buses.",SRP8-039,Annex 5A
7,5.1.3.2,Isolation Resistance for Galvanically Connected High Voltage Buses,"If AC high voltage buses and DC high voltage buses are galvanically connected, isolation resistance between the high voltage bus and the electrical chassis shall have a minimum value of 500 Ω/volt of the working voltage.",SRP8-039,Annex 5A
8,5.1.3.3,Isolation Resistance Monitoring System in Fuel Cell Vehicles,"In fuel cell vehicles, DC high voltage buses shall have an on-board isolation resistance monitoring system together with a warning to the driver if the isolation resistance drops below the minimum required value of 100 Ω/V. The function of the on-board isolation resistance monitoring system shall be confirmed as described in Annex 6.",SRP8-039,Annex 6
9,5.1.3.4,Isolation Resistance Compliance Post-Disconnection of Conductive Connection,the isolation resistance between the high voltage bus and the electrical chassis shall comply with the requirements of paragraph 5.1.3.1. when the conductive connection is disconnected,SRP8-118,Annex 5A
10,5.1.4,Post-Water Exposure Isolation Resistance Maintenance,"The vehicles shall maintain isolation resistance after exposure to water (e.g. washing, driving through standing water). This paragraph shall not apply to electrical circuits that are galvanically connected to each other, where the DC part of these circuits is connected to the electrical chassis and the specific voltage condition is fulfilled.",SRP8-039,Test
11,5.1.4.4,Driver Warning for Low Isolation Resistance Detection,"If an isolation resistance monitoring system is provided, and the isolation resistance less than the requirements given in paragraph 5.1.3. is detected, a warning shall be indicated to the driver. The function of the on-board isolation resistance monitoring system shall be confirmed as described in Annex 6.",SRP8-059,Annex 6
12,"5.2.1.1., 5.2.1.2.",REESS Installation and Compliance with Type Approval Conditions,"For a REESS which has been type approved in accordance with Part II of this series of Amendments to this Regulation, it shall be installed in accordance with the instructions provided by the manufacturer of the REESS, and in conformity with the description provided in Annex 1, Appendix 2 to this Regulation.
The REESS including related vehicle components, systems and structure as applicable, shall comply with the respective requirements of paragraph 6. of this Regulation.",SRP8-016,"Annex 1, Annex 2"
13,5.2.2,Ventilation Requirements for Open-Type Traction Battery Compartments,Places for containing open type traction batteries that may produce hydrogen gas shall be provided with a ventilation fan or a ventilation duct to prevent the accumulation of hydrogen gas.,SRP8-016,Inspection
14,5.2.3,Driver Warning Indication in Active Driving Possible Mode,"The vehicle shall provide a warning to the driver when the vehicle is in active driving possible mode in the event specified in paragraphs 6.13. to 6.15.
In case of optical warning, the tell-tale shall, when illuminated, be sufficiently bright to be visible to the driver under both daylight and night-time driving conditions, when the driver has adapted to the ambient roadway light conditions.
This tell-tale shall be activated as a check of lamp function either when the propulsion system is turned to the ""On"" position, or when the propulsion system is in a position between ""On"" and ""Start"" that is designated by the manufacturer as a check position. This requirement does not apply to the tell-tale or text shown in a common space.",SRP8-175,Test
15,5.2.4,Low State of Charge Warning for Pure Electric Vehicles,"For pure electric vehicles (vehicles equipped with a powertrain containing exclusively electric machines as propulsion energy converters and exclusively rechargeable electric energy storage systems as propulsion energy storage systems), a warning to the driver in the event of low REESS state of charge shall be provided.
Based on engineering judgment, the manufacturer shall determine the necessary level of REESS energy remaining, when the driver warning is first provided.
In case of optical warning, the tell-tale shall, when illuminated, be sufficiently bright to be visible to the driver under both daylight and night-time driving conditions, when the driver has adapted to the ambient roadway light conditions.",SRP8-018,Test
16,5.3.1,Driver Indication on Activation of Propulsion System,"At least a momentary indication shall be given to the driver each time when the vehicle is first placed in ""active driving possible mode'' after manual activation of the propulsion system.
However, this provision is optional under conditions where an internal combustion engine provides directly or indirectly the vehicle´s propulsion power upon start up.",SRP8-175,Test
17,5.3.2,Driver Warning When Exiting Vehicle in Active Driving Possible Mode,"When leaving the vehicle, the driver shall be informed by a signal (e.g. optical or audible signal) if the vehicle is still in the active driving possible mode.",SRP8-175,Test
18,5.3.3,Drive Inhibition During External Charging Connection,"If the REESS can be externally charged, vehicle movement by its own propulsion system shall be impossible as long as the vehicle connector is physically connected to the vehicle inlet.
This requirement shall be demonstrated by using the vehicle connector specified by the vehicle manufacturer.
The above requirements are only applicable for vehicles when charging from a stationary charging point, with a charging cable of finite length, through a vehicle coupler comprising a vehicle connector and a vehicle inlet.",SRP8-118,Test
19,5.3.4,Drive Direction Control State Indication,The state of the drive direction control unit shall be identified to the driver.,SRP8-175,Test
20,"5.4.3., 5.4.4.",Hydrogen Emission Limits During Normal and Failure Charge Conditions,"During a normal charge procedure in the conditions given in Annex 8, hydrogen emissions shall be below 125 g during 5 h, or below 25 x t2 g during t2 (in h).
During a charge carried out by a charger presenting a failure (conditions given in Annex 8), hydrogen emissions shall be below 42 g. Furthermore the charger shall limit this possible failure to 30 minutes.",SRP8-124,Annex 8
21,"5.4.5., 5.4.6., 5.4.7., 5.4.8., 5.4.9.",Control System Integrity and Fault Indication for Charging Operations,"All the operations linked to the REESS charging shall be controlled automatically, included the stop for charging. It shall not be possible to take a manual control of the charging phases.
Normal operations of connection and disconnection to the mains or power cuts shall not affect the control system of the charging phases.
Important charging failures shall be permanently indicated. An important failure is a failure that can lead to a malfunction of the charger during charging later on.
The manufacturer has to indicate in the owner's manual, the conformity of the vehicle to these requirements.",SRP8-021,Annex 8
22,6.2.1,Vibration Resistance Testing According to Annex 9A,The test shall be conducted in accordance with Annex 9A to this Regulation.,SRP8-016,Annex 9A
23,6.3.1,Thermal Shock and Cycling Test Compliance (Annex 9B),This test shall be conducted in accordance with Annex 9B to this Regulation.,SRP8-016,Annex 9B
24,6.4.1.2,Mechanical Shock Test Compliance (Annex 9C),The test shall be conducted in accordance with Annex 9C to this Regulation.,SRP8-016,Annex 9C
