Checklist,Clause,Req Name,Details,Project ID,Verification Method
37,,Note,"Requirements highlighted in yellow need to be followed, but don't need to be tested",,
1,5.1.1,Enable Engine Start,"The protective device shall be so designed that it is necessary to put it out of action in order to enable:
5.1.1. the engine to be started by means of the normal control;",SRP8-175,Demonstration
1,5.1.1,Enable Engine Start,"The protective device shall be so designed that it is necessary to put it out of action in order to enable:
5.1.1. the engine to be started by means of the normal control;",SRP8-111,Demonstration
2,5.1.2,Enable Vehicle Movement,"The protective device shall be so designed that it is necessary to put it out of action in order to enable:
5.1.2 the vehicle to be steered, driven or moved forward under its own power.",SRP8-111,Demonstration
2,5.1.2,Enable Vehicle Movement,"The protective device shall be so designed that it is necessary to put it out of action in order to enable:
5.1.2 the vehicle to be steered, driven or moved forward under its own power.",SRP8-111,Demonstration
3,5.2,One Key,The requirements of paragraph 5.1. shall be met by the single application of one key.,,
4,5.3,Not permit removal,Except in the case provided for in paragraph 6.1.5. a system operated with a key inserted in a lock shall not permit removal of the key before the protective device referred to in paragraph 5.1. has come into action or has been set to act.,SRP8-111,Demonstration
5,5.4,Protective Device Strength,"The protective device referred to in paragraph 5.1. above, and the vehicle components on which it operates, shall be so designed that it cannot rapidly and without attracting attention, be opened, rendered ineffective, or destroyed by, for example, the use of low-cost, easily-concealed tools, equipment or fabrications readily available to the public at large.",,
6,5.5,Dismantling,"The protective device shall be mounted on the vehicle as an item of original equipment, i.e. equipment installed by the vehicle manufacturer prior to first retail sale. It shall be fitted in such a way that even after removal of its housing it cannot, when in the blocked condition, be dismantled otherwise than with special tools. If it would be possible to render the protective device ineffective by the removal of screws, the screws shall, unless they are non-removable screws, be covered by parts of the blocked protective device.",,
7,5.6,Key Combinations,"The key locking system shall provide at least 1,000 different key combinations or a number equal to the total number of vehicles manufactured annually if less than 1,000. In vehicles of one type the frequency of occurrence of each combination shall be roughly one per 1,000.",,
8,5.7,Not visibly coded,The key and lock shall not be visibly coded.,,
9,5.8,Torque test on lock cylinder,"The lock shall be so designed, constructed and fitted that turning of the lock cylinder, when in the locked position, with a torque of less than 0.245 mdaN is not possible with anything other than the mating key, and",,
10,5.8.1,Lock cylinders with pin tumblers,"for lock cylinders with pin tumblers no more than two identical tumblers operating in the same direction shall be positioned adjacent to each other,",,
11,5.8.1,Lock cylinders with pin tumblers,"for lock cylinders with pin tumblers, in a lock there shall not be more than 60 per cent identical tumblers,",,
12,5.8.2,Lock cylinders with disc tumblers,"for lock cylinders with disc tumblers no more than two identical tumblers operating in the same direction shall be positioned adjacent to each other,",,
13,5.8.2,Lock cylinders with disc tumblers,"for lock cylinders with disc tumblers, in a lock there shall not be more than 50 per cent identical tumblers.",,
13,5.9.1,Activation conditions,"It shall not be possible to activate protective devices acting on the steering, transmission or gear shift control without first setting the engine controls to a stop condition and then performing an action which is not an uninterrupted continuation of stopping the engine.",SRP8-111,Demonstration
14,5.9.1,Activation conditions,"It shall not be possible to activate protective devices acting on the steering, transmission or gear shift control without first setting the engine controls to a stop condition and then performing an action which is not an uninterrupted continuation of stopping the engine.",SRP8-175,Demonstration
15,5.9.2,Prevent accidental removal,"In the case of devices acting on the steering, transmission or gear shift control, if the action of key withdrawal activates the device it shall either necessitate a minimum movement of 2 mm before activation of the device or incorporate an override facility to prevent accidental removal or partial withdrawal of the key.",SRP8-111,Demonstration
16,5.10,Power Assistance,Power assistance may be used only to activate the locking and/or unlocking action of the protective device. The device shall be kept in its operating position by mechanical means only.,,
17,5.11,Motive power conditions,It shall not be possible to activate the motive power of the vehicle by normal means until the protective device has been deactivated.,SRP8-111,Demonstration
18,5.13,Driver Warning Feature,"If the protective system is equipped with a driver warning feature it shall be activated, unless the protective device has been activated and any key removed by the operator, when the operator opens the driver’s side door.",,
38,6,Particular Specifications,"Protective devices on sections of the car (steering, transmission, gearbox)",,
19,6.1.1,Block Steering,A protective device acting on the steering shall block the steering.,,
20,6.1.2,Continual functioning (Steering),"When the protective device is set to act, it shall not be possible to prevent the device from functioning.",,
21,6.1.3,"5.9 after 2,500 locking cycles","The protective device must continue to meet paragraphs 5.9., 6.1.1., 6.1.2. and 6.1.4., after it has undergone 2,500 locking cycles in each direction of the wear-producing test specified in Annex 3.",,
22,6.1.3,"6.1.1. after 2,500 locking cycles","The protective device must continue to meet paragraphs 5.9., 6.1.1., 6.1.2. and 6.1.4., after it has undergone 2,500 locking cycles in each direction of the wear-producing test specified in Annex 3.",,
23,6.1.3,"6.1.2. after 2,500 locking cycles","The protective device must continue to meet paragraphs 5.9., 6.1.1., 6.1.2. and 6.1.4., after it has undergone 2,500 locking cycles in each direction of the wear-producing test specified in Annex 3.",,
24,6.1.3,"6.1.4 after 2,500 locking cycles","The protective device must continue to meet paragraphs 5.9., 6.1.1., 6.1.2. and 6.1.4., after it has undergone 2,500 locking cycles in each direction of the wear-producing test specified in Annex 3.",,
25,6.1.4,Torque test (Steering),"The protective device shall, in its activated position, be strong enough to withstand, without damage to the steering mechanism likely to compromise safety, the application of a torque of 20 mdaN about the axis of the steering shaft in both directions under static conditions.",,
26,6.1.5,Removal of key (Steering),"If the protective device is such that the key can be removed in a position other than the position in which the steering is locked, it shall be so designed that the manoeuvre required to reach that position and remove the key cannot be effected inadvertently.",,
27,6.2.1,Prevent rotation of wheels,A protective device acting on the transmission shall prevent the rotation of the vehicle’s driving wheels.,,
28,6.2.2,Continual functioning (Transmission),"When the protective device is set to act, it shall not be possible to prevent the device from functioning.",,
29,6.2.3,Blocked transmission,"It shall not be possible for the transmission to be blocked inadvertently when the key is in the lock of the protective device, even if the device preventing starting of the engine has come into action or been set to act.",,
30,6.2.4,"Effective after 2,500 locking cycles","The protective device shall be so designed and constructed that it remains fully effective even after some degree of wear as a result of 2,500 locking cycles in each direction.",,
31,6.2.5,Position of protective device (transmission),"If the protective device is such that the key can be removed in a position other than the position in which the transmission is locked, it shall be so designed that the manoeuvre required to reach that position and remove the key cannot be effected inadvertently.",,
32,6.2.6,Withstand 150% of maximum possible torque,"The protective device shall be strong enough to withstand, without damage likely to compromise safety, the application in both directions and in static conditions of a torque 50 per cent greater than the maximum torque that can normally be applied to the transmission. In determining the level of this testing torque account shall be taken, not of the maximum engine torque, but of the maximum torque that can be transmitted by the clutch or by the automatic transmission.",,
33,6.3.1,Prevent change of gear,A protective device acting on the gearshift control shall be capable of preventing any change of gear.,,
34,6.3.2,Lock mechanism (manual gearbox),In the case of manual gearboxes it must be possible to lock the gear shift lever in reverse only; in addition locking in neutral shall be permitted.,,
32,6.3.3,Lock mechanism (automatic gearbox with parking position),In the case of automatic gearboxes provided with a “parking” position it must be possible to lock the mechanism in the “parking” position only; in addition locking in neutral and/or reverse shall be permitted.,,
32,6.3.3,Lock mechanism (automatic gearbox with parking position),In the case of automatic gearboxes provided with a “parking” position it must be possible to lock the mechanism in the “parking” position only; in addition locking in neutral and/or reverse shall be permitted.,,
32,6.3.4,Lock mechanism (manual gearbox without parking position),In the case of automatic gearboxes not provided with a “parking” position it must be possible to lock the mechanism in the following positions only; neutral and/or reverse.,,
33,6.3.5,"Gearshift control after 2,500 locking cycles","The protective device shall be so designed and constructed that it remains fully effective even after some degree of wear as a result of 2,500 locking cycles in each direction.",,
39,11,Devices provided additionally,"11.1 Approval under this Regulation may be granted with respect to a protective device additionally equipped with an acoustic or visual warning device, or with respect to the optional fitting of supplementary devices to prevent the unauthorized use of the vehicle, provided that the supplementary devices require a separate means of activation.",,
34,11.2,Maximum of 30 second emission,"If the protective device is additionally equipped with an external acoustic and/or visual warning device, the signals emitted by the warning device shall be brief and shall end automatically after not more than 30 seconds; they shall recommence only if the device is actuated again. In addition,",,
35,11.2.1,Acoustic signal location,"if the signal is acoustic, it may be emitted by the audible warning device normally fitted to the vehicle;",,
