Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5.1,Turning Circle,"Every vehicle must have a turning circle in either direction, as determined by reference to the extreme outer edge of the tyre track at ground level, not exceeding 25 metres in diameter.",SRP8-049,Demonstration
2,6.1.1.1,Total Length,"The ‘Total Length’ of a motor vehicle, other than an ‘Articulated Omnibus’ must not exceed 12.5 metres.",SRP8-167,Inspection
4,6.1.1.1,Total Length,"The ‘Total Length’ of a motor vehicle, other than an ‘Articulated Omnibus’ must not exceed 12.5 metres.",SRP8-171,Inspection
6,6.1.2.1,Rear Overhang,"The ‘Rear Overhang’ of any motor vehicle must not exceed 60 percent of the ‘Wheelbase’, or 3.7 metres, whichever is the lesser.",SRP8-170,Inspection
7,6.1.2.1,Rear Overhang,"The ‘Rear Overhang’ of any motor vehicle must not exceed 60 percent of the ‘Wheelbase’, or 3.7 metres, whichever is the lesser.",SRP8-171,Inspection
8,6.1.2.1,Rear Overhang,"The ‘Rear Overhang’ of any motor vehicle must not exceed 60 percent of the ‘Wheelbase’, or 3.7 metres, whichever is the lesser.",SRP8-004,Inspection
9,6.1.3.1,Height,The height of any motor vehicle must not exceed 4.3 metres.,SRP8-167,Inspection
10,6.1.3.1,Height,The height of any motor vehicle must not exceed 4.3 metres.,SRP8-065,Inspection
12,6.1.4.1,Ground Clearance,"6.1.4.1. The ‘Ground Clearance’ of a motor vehicle, other than an L-Group vehicle, measured from a horizontal road surface to any applicable point on the underside of the vehicle must, under the conditions of ‘Maximum Loaded Test Mass’ loading as specified in the relevant braking rule, be not less than:
6.1.4.1.1. for the mid-point between any 2 consecutive ‘Axles’, the dimension in millimetres obtained by multiplying the distance between those 2 ‘Axles’ in metres by 33.33; and
6.1.4.1.2. for any other point, ‘Ground Clearance’ is such that if the wheels of one ‘Axle’ are on one plane and the wheels on the next consecutive ‘Axle’ are on another plane which intersects the first so that the angle between them is 7 degrees 38 minutes the point will pass over the apex transverse to the vehicle formed by that intersection, as shown in Figure 1.",SRP8-050,Calculations
13,6.1.4.1,Ground Clearance,"6.1.4.1. The ‘Ground Clearance’ of a motor vehicle, other than an L-Group vehicle, measured from a horizontal road surface to any applicable point on the underside of the vehicle must, under the conditions of ‘Maximum Loaded Test Mass’ loading as specified in the relevant braking rule, be not less than:
6.1.4.1.1. for the mid-point between any 2 consecutive ‘Axles’, the dimension in millimetres obtained by multiplying the distance between those 2 ‘Axles’ in metres by 33.33; and
6.1.4.1.2. for any other point, ‘Ground Clearance’ is such that if the wheels of one ‘Axle’ are on one plane and the wheels on the next consecutive ‘Axle’ are on another plane which intersects the first so that the angle between them is 7 degrees 38 minutes the point will pass over the apex transverse to the vehicle formed by that intersection, as shown in Figure 1.",SRP8-051,Calculations
