Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,,Rear Seat Applicability,This ADR is only applicable for vehicles with rear seats (inapplicable for SR8),,
2,5.1,Category Specification,"For category LEP, MA, MB, MC and MD1 vehicles:",,
3,5.1.1,"Provide Proof of how the vehicle provides the facility to attach an ‘Upper Anchorage Strap’ ‘Attaching Clip’ to an ‘Upper Anchor Fitting’ for each seating position) by specifying whether we meet either 5.1.1.1, 5.1.1.2 or 5.1.1.3 (Best to use 5.1.1.3)","5.1.1. Every vehicle shall provide the facility to attach an ‘Upper Anchorage Strap’ ‘Attaching Clip’ to an ‘Upper Anchor Fitting’ for each seating position nominated in clause 6 by either:
5.1.1.1. using the ‘Upper Anchor Fitting Package’, in which case:
5.1.1.1.1. one ‘Upper Anchor Fitting Package’ shall be installed in at least one seating position. This shall be in the centre rear seating position, if applicable; and
5.1.1.1.2. for other positions, one 5/16 inch UNC-2A hexagon headed bolt and appropriate ‘Spacer’ shall be supplied for each different variation from the standard ‘Attachment Bolt’ length and shall be placed in the vehicle’s glovebox; or
5.1.1.2. using an ‘Upper Anchor Fitting’ and appropriate attaching hardware other than in the ‘Upper Anchor Fitting Package’, in which case:
5.1.1.2.1. an ‘Upper Anchor Fitting’ shall be installed for at least one seating position. This shall be in the centre rear seating position, if applicable; and
5.1.1.2.2. for other positions, one 5/16 inch UNC-2A hexagon headed bolt and appropriate ‘Spacer’ shall be supplied for each different variation from the standard ‘Attachment Bolt’ length and shall be placed in the vehicle’s glovebox; or
5.1.1.3. an ‘Upper Anchor Fitting’ shall be installed for each nominated seating position, in which case:
5.1.1.3.1. the ‘Upper Anchor Fitting’ need only comply with Figure 2 in relation to the location and clearance of the ‘Upper Anchor Fitting’ ‘Interface Profile’.",,
4,5.1.3,Other Position conditionality,"For other positions, one 5/16 inch UNC-2A hexagon headed bolt and appropriate ‘Spacer’ shall be supplied for each different variation from the standard ‘Attachment Bolt’ length and shall be placed in the vehicle’s glovebox.",,
5,5.1.4,Upper Anchorage Conditions,Each ‘Upper Anchorage’ provided in accordance with clauses 5.1.1.1 or 5.1.1.2 shall:,,
6,5.1.4.1,Upper Anchorage Condition (Thread),"incorporate a 5/16 inch - 18 UNC - 2B internal thread which will provide sufficient engagement of the ‘Attachment Bolt’ to meet the strength requirements of clause 10 when the ‘Attachment Bolt’ is retaining a ‘Upper Anchor Fitting’, ‘Spacer(s)’, attaching hardware and any trim or other material present;",,
7,5.1.4.2,Upper Anchorage Conditions (Accessibility),"be so designed and located that no items need to be removed to gain access to it for the installation of the ‘Upper Anchor Fitting’, except closure plugs, or other items, removable with the use of simple hand tools; and",,
8,5.1.4.3,Upper Anchorage Conditions (Clearance),"provide clearance to enable the installation of the ‘Upper Anchor Fitting’, ‘Spacer(s)’ and attaching hardware. 5.1.5. For guidance to vehicle manufacturers the clearance parameters shown in Figure 7 are sufficient to demonstrate compliance with clause 5.1.4.3.",,
9,6.1.2,Upper Anchorages Placement,‘Upper Anchorages’ or ‘Upper Anchor Fitting(s)’ may be installed in front seating positions other than the driver’s ‘Seat’.,,
10,7.1.1,Information Conditions,"Information including either a photograph or a diagram regarding the location of each ‘Child Restraint Anchorage’ (if fitted), installation of ‘Upper Anchor Fittings’ (if applicable), and installation of ‘Child Restraint’ ‘Attaching Clips’ shall be specified in the vehicle handbook or otherwise supplied with the vehicle. The information shall include:",,
11,7.1.1.1,Warning for child use only,"“WARNING: child restraint anchorages are designed to withstand only those loads imposed by correctly fitted child restraints. Under no circumstances are they to be used for adult seatbelts, harnesses, or for attaching other items or equipment to the vehicle.”",,
12,7.1.1.2,Details on bolt length and spacers thickness (along with installation and orientation),"Details on the length of bolts and the thickness (and number) of ‘Spacers’ required at each ‘Upper Anchorage’ (as applicable), location and correct method of installation and orientation of ‘Upper Anchor Fitting(s)’ (as applicable), and method of attachment and orientation of ‘Attaching Clip(s)’. Orientation shall be shown relative to the front of the vehicle.",,
13,7.1.1.3,More Details (Look at Checklist 1 for clause info),"Details of the dedicated anchor fitting package in accordance with clauses 5.1.1.1.2, 5.1.1.2.2 and 5.1.3 and its location in the vehicle.",,
14,8.1.1,"Specification whether complying with both 8.1.2 and 8.1.3, or just 8.1.4","Except as provided in clause 8.2.1, each ‘Upper Anchorage’ and ‘Upper Anchor Fitting’ must comply with clause 8.1.2 and clause 8.1.3, or comply with clause 8.1.4.",,
15,8.1.1.1,Upper Anchorage Location Allowability,"In addition, each ‘Upper Anchorage’ and ‘Upper Anchor Fitting’ shall be located within the vehicle in a part of the body structure which would not normally be movable, or if movable would not alter the tension in any ‘Upper Anchorage Strap’ when moved.
8.1.1.1.1. The requirements of clause 8.1.1.1 do not apply if the ‘Upper Anchorage’ and ‘Upper Anchor Fitting’ are located on a ‘Seat’.",,
16,8.1.2,Vertical condition,"8.1.2. In the vertical plane, the entire ‘Interface Profile’ of each ‘Upper Anchor Fitting’ shall be located within the shaded area shown in Figure 6 with:
8.1.2.1. the ‘Manikin’ to be positioned in the ‘Seating Reference Plane’ when the ‘Seat’ and the ‘Seat’ back are in the design position;
8.1.2.2. the ‘Manikin’s’ ‘H Point’ at the ‘Seating Reference Point’; and
8.1.2.3. the ‘Manikin’s’ ‘Torso Reference Line’ at the same angle from the vertical as the ‘Seat’ back.",,
17,8.1.3,Horizontal Condition,"In the horizontal plane, the centreline of the ‘Interface Profile’ of each ‘Upper Anchor Fitting’ shall lie within 40 mm of the ‘Seating Reference Plane’ of the seating position for which the ‘Upper Anchor Fitting’ is provided.",,
18,8.1.4,More location conditions,"Subject to clause 8.1.4.1, the entire ‘Interface Profile’ of each ‘Upper Anchor Fitting’ shall be located within the shaded zone shown in Figures 9 to 13. The zone is defined with reference to the ‘Seating Reference Point’. For purposes of the figures, ""H"" Point is defined to mean ‘Seating Reference Point’. The ‘Interface Profile’ may be recessed in the seat back, provided that it is not in the strap wrap-around area at the top of the vehicle seat back. For the area under the vehicle seat, the forward most edge of the shaded zone is defined by the ‘Torso Reference Line’.",,
19,8.1.4.1,Upper Anchorage Location Allowability (If outside shaded zone),"8.1.4.1. The ‘Interface Profile’ may be located outside the shaded zone shown in Figures 9 to 13 if a location within that zone is not appropriate and the vehicle is equipped with a routing device that,
8.1.4.1.1. ensures that the ‘Upper Anchorage Strap’ functions as if the ‘Interface Profile’ were located within the shaded zone; and,
8.1.4.1.2. is at least 65 mm behind the ‘Torso Reference Line’, in case of a non-rigid webbing-type routing device or a deployable routing device, or at least 100 mm behind the ‘Torso Reference Line’, in the case of a fixed rigid routing device; and,
8.1.4.1.3. when tested after being installed as it is intended to be used, the device is of sufficient strength to withstand, with the ‘Upper Anchorage’, the strength requirements specified in clause 10, excluding sub-clauses 10.1.2.1 and 10.1.2.2.",,
20,9.1.1,Clearance for latching and unlatching,"Clearance shall be provided around each ‘Upper Anchor Fitting’ to allow latching and unlatching, without the use of tools, of the ‘Attaching Clip’ to the ‘Upper Anchor Fitting’ when it is installed in the vehicle..",,
21,9.1.2,Clearance Parameters in Figure 8,"For guidance to vehicle manufacturers, the clearance parameters shown in Figure 8 are sufficient to demonstrate compliance with clause 9.1.1.",,
22,10.1.1,Manufacturer to choose static (10.1.2) or dynamic test (10.1.3),"For each ‘Upper Anchorage’, static or dynamic testing shall be conducted at the vehicle ‘Manufacturer’s’ choice either to clause 10.1.2 or clause 10.1.3 as applicable - using ‘Upper Anchor Fitting(s)’ provided in accordance with clause 5.",,
