Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,8.1,Alternative Standard,"Australian and New Zealand Standard AS/NZS 2080:1995 ""Safety Glass for Land Vehicles""",SRP8-003,Pre-compliant
2,8.1,Alternative Standard,"Australian and New Zealand Standard AS/NZS 2080:1995 ""Safety Glass for Land Vehicles""",SRP8-112,Directly from Chris Glassmaker
3,7.2,Material other than glass,Any glazing material other than glass used in a road vehicle must comply with a standard listed in Part 8 which includes provisions expressly dealing with requirements for non-glass glazing material.,SRP8-003,
4,7.2,Material other than glass,Any glazing material other than glass used in a road vehicle must comply with a standard listed in Part 8 which includes provisions expressly dealing with requirements for non-glass glazing material.,SRP8-112,
5,7.3,Laminated safety glass,The glass used in the windscreen of all vehicles must be laminated safety glass.,SRP8-003,Inspection
6,7.3,Laminated safety glass,The glass used in the windscreen of all vehicles must be laminated safety glass.,SRP8-112,Inspection
7,7.4.1,Mark of relevant standard,"All glass must carry the indelible mark or marks of the relevant standards, visible when the glass is fitted in the vehicle.",SRP8-003,Inspection
8,7.4.1,Mark of relevant standard,"All glass must carry the indelible mark or marks of the relevant standards, visible when the glass is fitted in the vehicle.",SRP8-112,Inspection
9,7.4.2,Mark Identification,The mark or marks must identify the type of glass and the relevant standard to which the glass conforms.,SRP8-003,Inspection
10,7..2,Mark Identification,The mark or marks must identify the type of glass and the relevant standard to which the glass conforms.,SRP8-112,Inspection
11,7.5.1,Primary Vision Area,"The primary vision area for windscreens shall be determined in accordance with 7.5.1.1, 7.5.1.2 or 7.5.1.3.",SRP8-003,Demonstration
12,7.5.1.1,Test Area B,"For windscreens of passenger cars, “Test area B” as specified in Annex 18 of ECE R 43 paragraph 2.3, and referenced in Annex 3 paragraph 9.1.2.2 (see Appendix A).",SRP8-003,Analysis
13,7.5.1.2,Area of Windscreen Description,"The area of the windscreen between a plane tangential to the top of the ‘95th Percentile Eye Ellipses’, inclined 10 degrees above the horizontal measured parallel to the longitudinal axis of the vehicle, to a plane tangential to the bottom of the ‘95th Percentile Eye Ellipses’, which includes a horizontal line at ground level transverse to the longitudinal axis of the vehicle and 11 m from the rearmost eye position on the ‘95th Percentile Eye Ellipses’, measured horizontally and parallel to the longitudinal axis of the vehicle and between a vertical plane tangential to the outboard of the ‘95th Percentile Eye Ellipses’ and inclined 15 degrees to the right, to a vertical plane tangential to the inboard of the ‘95th Percentile Eye Ellipses’ and inclined 56 degrees to the left.",SRP8-003,Analysis
14,7.5.1.3,Exclusion Area,"It must be permissible to exclude from the primary vision area, any area of glass within 65 mm of the upper and lower edges of the glass and 90 mm of the side edges of the glass.",SRP8-003,Analysis
15,7.5.2.1,Optical Transmission,There must be not less than 70 per cent optical transmission in the primary vision area.,SRP8-003,Test
