Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5.2.1,Latch System,Each hinged door system shall be equipped with at least one primary door latch system.,SRP8-001,Inspection
2,6.1.1.1,Load Test 1 Part 1,"Each primary door latch system and auxiliary door latch system, when in the fully latched position, shall not separate when a load of 11,000 N is applied in the direction perpendicular to the face of the latch such that the latch and the striker anchorage are not compressed against each other, when tested in accordance with paragraph 7.1.1.1.",SRP8-001,Test
3,6.1.1.2,Load Test 1 Part 2,"When in the secondary latched position, the primary latch system shall not separate when a load of 4,500 N is applied in the same direction as in paragraph 6.1.1.1., when tested in accordance with paragraph 7.1.1.1.",SRP8-001,Test
4,6.1.2.1,Load Test 2 Part 1,"Each primary door latch system and auxiliary door latch system, when in the fully latched position, shall not separate when a load of 9,000 N is applied in the fork-bolt opening direction and parallel to the face of the latch, when tested in accordance with paragraph 7.1.1.1.",SRP8-001,Test
5,6.1.2.2,Load Test 2 Part 2,"When in the secondary latched position, the primary latch system shall not separate when a load of 4,500 N is applied in the same direction, as in paragraph 6.1.2.1., when tested in accordance with paragraph 7.1.1.1.",SRP8-001,Test
6,6.1.3.1,Load Test 3,"Each primary door latch system shall not disengage from the fully latched position when a vertical load of 9,000 N is applied.",SRP8-001,Test
7,6.1.4.3,Inertial Load,"Each component or subassembly can be calculated for its minimum inertial load resistance in a particular direction. The combined resistance to the unlatching operation must assure that the door latch system, when properly assembled in the vehicle door, will remain latched when subjected to an inertial load of 30 g in the vehicle directions specified in paragraphs 6.1.4.1. and 6.1.4.2., as applicable, in accordance with paragraph 7.1.1.2.",SRP8-001,Analysis
8,6.1.5.1 a,Hinge Support,Each door hinge system shall: Support the door,SRP8-001,Demonstration
9,6.1.5.1 b,Longitudinal Hinge Separation,"Each door hinge system shall: Support the door: Not separate when a longitudinal load of 11,000 N is applied;",SRP8-001,Test
10,6.1.5.1 c,Transverse Hinge Separation,"Each door hinge system shall: Not separate when a transverse load of 9,000 N is applied",SRP8-001,Test
11,6.1.5.1 d,Vertical Hinge Separation,"Each door hinge system shall: On doors which open in a vertical direction, not separate when a vertical load of 9,000 N is applied",SRP8-001,Test
12,6.3.1,Door Locks,"Each door shall be equipped with at least one locking device which, when engaged, shall prevent operation of the exterior door handle or other exterior latch release control and which has an operating means and a lock release/engagement device located within the interior of the vehicle.",SRP8-111,Annex 6
13,6.3.1.1,Full Locking System,"If fitted, a full locking system may only be activated when the ignition key is not in the engine running mode and shall be installed in combination with at least one of the following measures:
(a) An alarm system with interior detection in accordance with Regulation No. 116 or Regulation No. 97, or other equipment which is able to detect an occupant's movement. The setting of the full locking system shall be prohibited where an occupant's movement is detected within the passenger compartment; or
(b) An acoustic warning device (e.g. horn) which can be activated from the interior of the vehicle in case that the ignition is switched off and the full locking system is activated.",SRP8-057,Annex 6
