Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5.2,Lamp Vibration Durability Compliance,"The devices must be so designed and constructed that in normal conditions of use, and notwithstanding the vibrations to which they may be subjected in such use, their satisfactory operation remains assured and they retain the characteristics prescribed by this Regulation.",SRP8-126,Inspection
2,6.1.4.1,S1 Lamp Photometric Intensity Compliance,,SRP8-011,Analysis
3,6.1.4.3,S3 Lamp Photometric Intensity Compliance,,SRP8-077,Analysis
4,6.2-6.2.2.,Directional Light Intensity Compliance for Stop Lamps,"Outside the reference axis and within the angular fields defined in the diagrams in annex 1 to this Regulation, the intensity of the light emitted by each of the two devices supplied must:
In each direction corresponding to the points in the light distribution table reproduced in annex 4 to this Regulation, be not less than the product of the minimum specified in paragraph 6.1 above by the percentage specified in the said table for the direction in question;
In no direction within the space from which the light-signalling device is visible, exceed the maximum specified in paragraph 6.1 above;",SRP8-077,Annex 1
5,6.2.3. - 6.2.4.1.,Luminous Intensity Limits for S1 Stop Lamps,"However, a luminous intensity of 60 cd shall be permitted for rear position (side) lamps reciprocally incorporated with stop-lamps (see paragraph 6.1.3 above) below a plane forming an angle of 5 degrees with and downward from the horizontal plane; Throughout the fields defined in the diagrams in annex 1, the intensity of the light emitted must be not less than 0.05 cd for front and rear position (side) lamps not less than 0.3 cd for stop- lamps with one level of intensity",SRP8-011,Annex 1
6,6.2.4.2,Intensity Ratio for Rear Position Lamps Incorporated with Stop-Lamps,"If a rear position (side) lamp is reciprocally incorporated with a stop-lamp, the ratio between the luminous intensities actually measured of the two lamps when turned on simultaneously at the intensity of the rear position (side) lamp when turned on alone should be at least 5 : 1 in the field delimited by the straight horizontal lines passing through +/- 5 degrees V and the straight vertical lines passing through +/- 10 degrees H of the light distribution table.",SRP8-011,Analysis/Inspection
7,6.4-8.,Dual-Intensity Stop Lamp Timing and Luminous Performance Compliance,"In the case of a stop-lamp providing two levels of intensity the time that elapses between electrical supply being switched on and the light output measured on the reference axis to reach 90% of the value measured in accordance with paragraph 6.3 above shall be measured for both the day and the night conditions of use. The time measured for the night condition of use shall not exceed that measured for the day condition of use.
Annex 4, to which reference is made in paragraph 6.2.1 above, gives particulars of the methods of measurement to be used.
TEST PROCEDURE
All measurements shall be made with a white standard filament lamp of the category prescribed for the device, the supply voltage being so regulated as to produce the normal luminous flux prescribed for that category of lamp.
All measurements on lamps equipped with non-replaceable light sources (filament lamps and other) shall be made at 6.75 V, 13.5 V or 28.0 V respectively.
In the case of light sources supplied by a special power supply, the above test voltages shall be applied to the input terminals of that power supply. The test laboratory may require from the manufacturer the special power supply needed to supply the light sources.
However, in the case of a stop-lamp for which an additional system is used to obtain the night-time intensity, the voltage applied to the system for measuring the night-time intensity shall be that which was applied to the filament lamp for measuring the day-time intensity. 2/
Where a rear position (side) lamp is reciprocally incorporated with a dual- intensity stop- lamp and is designed to operate permanently with an additional system to regulate the intensity of the light emitted, measurement of the light emitted shall be performed with the same voltage applied to the system as would, if applied to the filament lamp, enable the lamp to produce the prescribed normal luminous flux.
The vertical and horizontal outlines of the illuminating surface of a light- signalling device (paragraph 1.6.2) shall be determined and measured in relation to the centre of reference (paragraph 1.6.5).
COLOUR OF LIGHT EMITTED
The colour of the light emitted shall be within the limits of the co-ordinates prescribed for the colour in question in annex 5 to this Regulation.",SRP8-077,Analysis/Inspection
8,Annex 1,Minimum Vertical Angles for Light Distribution in all lamps (except S3 stop lamp),The minimum vertical angles of light distribution in space are 15 degrees above and 15 degrees below the horizontal for all categories of devices included in this Regulation,SRP8-011,
9,Annex 1,Minimum Vertical Angles for Light Distribution in S3 stop lamp,except for category S3 stop lamp for which they are 10 degrees above and 5 degrees below the horizontal.,SRP8-077,
10,Annex 4 1.2.2.,Measuring Equipment Angular Aperture,The measuring equipment shall be such that the angular aperture of the receiver viewed from the reference centre of the light is comprised between 10 degrees and 1 degrees;,SRP8-011,
11,Annex 5,Lamp Colour Chromaticity Compliance,,SRP8-011,
12,Annex 7 1.2.1.,Allowable Photometric Intensity Deviation,no measured value deviates unfavourably by more than 20% from the values prescribed in this Regulation.,SRP8-011,
