Checklist,Clause,Req Name,Details,Project ID,Verification Method
536,6.1,,Vehicles listed in clause 2.2 must comply with this standard by satisfying one of the following clauses (4.1.1-4.1.2),,
537,6.1.1,,"Appendix A as varied by Part 5 Exemptions and Alternative Procedures, and including Part 6 Supplementary General Requirements, Part 7 Individual Requirements, and Part 8 Variations to the Requirements for Lamps in Appendix A.",,
538,6.1.2,,One of the alternative standards in Clause 9.,,
539,6.2,,"Where the fitment of a lamp is indicated as optional, this means that it is not mandatory to fit the lamp, but if fitted, the lamp(s) are required to comply with this standard.",,
1,8.1,,Additional Lamps,,
540,8.1.1,,"In addition to the lamps specified in paragraph 5.16 of Appendix A, vehicles may be equipped with those lamps specified in part 9 of this standard.",,
2,8.1.2,Invalidation of lamp compliance,"Where the installation of equipment or accessories for operational reasons invalidates the compliance of lamps originally fitted in accordance with this vehicle standard, additional lamp must be fitted to maintain compliance.",SRP8-011,Inspection
13,8.1.2,Invalidation of lamp compliance,"Where the installation of equipment or accessories for operational reasons invalidates the compliance of lamps originally fitted in accordance with this vehicle standard, additional lamp must be fitted to maintain compliance.",SRP8-012,Inspection
14,8.1.2,Invalidation of lamp compliance,"Where the installation of equipment or accessories for operational reasons invalidates the compliance of lamps originally fitted in accordance with this vehicle standard, additional lamp must be fitted to maintain compliance.",SRP8-013,Inspection
15,8.1.2,Invalidation of lamp compliance,"Where the installation of equipment or accessories for operational reasons invalidates the compliance of lamps originally fitted in accordance with this vehicle standard, additional lamp must be fitted to maintain compliance.",SRP8-077,Inspection
16,8.1.2,Invalidation of lamp compliance,"Where the installation of equipment or accessories for operational reasons invalidates the compliance of lamps originally fitted in accordance with this vehicle standard, additional lamp must be fitted to maintain compliance.",SRP8-171,Inspection
17,8.1.2,Invalidation of lamp compliance,"Where the installation of equipment or accessories for operational reasons invalidates the compliance of lamps originally fitted in accordance with this vehicle standard, additional lamp must be fitted to maintain compliance.",SRP8-171,Inspection
18,8.1.4,Additional Lamp height Considerations 1,"Additional direction indicator, hazard warning, stop, parking, end outline marker, rear and front position lamps and rear, front and side retro reflectors may be fitted to satisfy specific safety and operational requirements. These additional lamps shall be fitted as close as possible to the maximum height of the vehicle.",SRP8-012,Inspection
19,8.1.4,Additional Lamp height Considerations 1,"Additional direction indicator, hazard warning, stop, parking, end outline marker, rear and front position lamps and rear, front and side retro reflectors may be fitted to satisfy specific safety and operational requirements. These additional lamps shall be fitted as close as possible to the maximum height of the vehicle.",SRP8-013,Inspection
20,8.1.4,Additional Lamp height Considerations 1,"Additional direction indicator, hazard warning, stop, parking, end outline marker, rear and front position lamps and rear, front and side retro reflectors may be fitted to satisfy specific safety and operational requirements. These additional lamps shall be fitted as close as possible to the maximum height of the vehicle.",SRP8-077,Inspection
