Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5.1.2,Requirements - Energy Dissipation,"Vehicle parts within the reference zone with the exception of those which are not part of the instrument panel and which are placed at less than 10cm from glazed surfacs shall be energy-dissipating, as prescribed in annex 4 to this Regulation",SRP8-028,Inspection
2,5.1.2.2,Energy Dissipation Exception,"Those parts within the referene zone which satisfy both of the following conditions shall also be excluded from consideration if: parts to be tested are placed less than 10cm away from the parts ontacted outside the reference zone, this distance being measured on the surface of the referene zone;",SRP8-029,Inspection
3,5.1.2.3,Metal support fittings,Those parts within the referene zone which satisfy both of the following conditions shall also be excluded from consideration if: any metal support fittings shall have no protruding edges,SRP8-029,Inspection
4,5.1.3,Requirements - Rounded Edges of Instrument Panel,"The lower edge of the instrument panel shall, unless it meets the requirements of paragraph 5.1.2. above, be rounded to a radius of curvature of not less than 19mm.",SRP8-037,Inspection/Test
5,5.1.4,Switches and pull knobs (etc.) of rigid materia,"Switches, pull-knobs and the like, made of rigid material which, measured in accordance with the method prescribed in annex 6, project from 3.2 mm to 9.5mm from the panel shall have a cross sectional area of not less than 2 cm2, measured 2.5 mm from the point projecting furthest and shall have rounded edges with a radius of curvature of not less than 2.5 mm.",SRP8-037,Inspection/Test
6,5.1.5,Switches and pull knob projection and reaction to horizontal force,"If these components project more than 9.5 mm from the surface of the instrument panel, they shall be so designed and constructed as to be able, under the effect of a longitudinal horizontal force of 37.8 daN delivered by a flat-ended ram of not more than 50 mm diameter, either to retract into the surface of the panel until they do not project by more than 9.5 mm or to become detached; in the latter case, no dangerous projections of more than 9.5 mm shall remain; a cross-section of not more than 6.5 mm from the point of maximum projection shall be not less than 6.5 cm2 in area",SRP8-037,Test
23,5.2.1,Forward Interior Parts Below Instrument Panel,"Except for the pedals and their fixtures and those components that cannot be contacted by the device described in annex 7 to this Regulation and used in accordance with the procedure described therein, components covered by paragraph 5.2., such as switches, the ignition key, etc. shall comply with the requirements of paragraphs 5.1.4. to 5.1.6.",SRP8-037,Inspection/Test
7,5.2.3.1,Parts facing into the Vehicle,"The part facing into the vehicle shall present a surface not less than 25 mm high with edges rounded to a radius of curvature of not less than 3.2 mm. This surface shall consist of or be covered with an energy-dissipating material, as defined in annex 4 of this Regulation, and shall be tested in accordance therewith, the impact being applied in a horizontal longitudinal direction",SRP8-037,Inspection/Test
8,5.2.3.2,Shelves and similar items under effect of horizontal force,,SRP8-037,Test
9,5.3.2.1,Control Levers and Knobs edges,"Control levers and knobs must have rounded edges, the radii of curvature being no less than 3.2mm",SRP8-037,Inspection/Test
10,5.3.2.2,Requirements - Control Levers and Knobs,"Control levers and knobs shall be so designed and constructed that, under the effect of a forward acting longitudinal horizontal force of 37.8 daN either the projection in its most unfavourable position is reduced to not more than 25 mm from the surface of the panel or the said fittings become detached or bent; in the two latter cases no dangerous projections shall remain. Window winders may, however, project 35 mm from the surface of the panel",SRP8-037,Test
11,5.3.4.1,Components mounted on roof,"Components mounted on the roof, but which are not part of the roof structure, such as grab handles, lamps and sun visors, etc. shall have a radius of curvature not less than 3.2 mm. In addition, the width of the projecting parts shall not be less than the amount of their downward projection; alternatively these projecting parts shall pass the energy dissipating test in accordance with the requirements of annex 4",SRP8-027,Inspection/Test
12,5.4.2.1,Roof Requirements - Roughness and Edges,"The inner face of the roof must exhibit no dangerous roughness, and projecting parts must be rounded to at least 5 mm.",SRP8-027,Inspection/Test
13,5.5.1.2.2,Open roof requirement - Edges,"The opening and operating devices' surfaces shall terminate in rounded edges, the radii of curvature being not less than 5 mm",,Inspection/Test
14,5.5.1.2.3,Open roof requirement - Position of rest,"The opening and operating devices shall be accommodated, when in the position of rest, in areas which cannot be touched by a sphere 165 mm in diameter",,Inspection
15,5.7.1.2.1,Separate front seats,"In the case of separate front seats, the rear passengers' head-impact zone shall extend for 10 cm on either side of the seat centreline, in the top part of the rear of the seat-back.",SRP8-032,Inspection/Test
16,5.7.1.2.1.1,Head restraints,"In the case of seats fitted with head restraints, each test shall be carried out with the head restraint in the lowest position and at a point situated on the vertical line passing through the centre of the head-restraint.",SRP8-032,Inspection/Test
17,5.7.1.2.3,Head impact zone,"In the head impact zone outside the limits prescribed in paragraphs 5.7.1.2.1. to 5.7.1.2.2. inclusive, the seat frame structure shall be padded to avoid direct contact of the head with it; and, in these zones, shall have a radius of curvature of at least 5 mm.",SRP8-032,Inspection/Test
18,5.8.2.6 or 5.8.2.7,Power-Operated Windows and Roof Systems,"(5.8.2.6) when the closing movement of a power-operated window, roof panel or partition starts at an opening not exceeding 4 mm; (5.8.2.7)when the power-operated window of a vehicle's door without an upper door frame closes automatically whenever the pertinent door is closed. In this case the maximum opening, as defined in paragraph 2.15., prior to window closing, shall not exceed 12 mm.",SRP8-112,Test
19,5.9.1,Non-Specified Fittings,"If such parts are made of a material of less than 50 shore A hardness, mounted on a rigid support, the requirements in question shall apply only to the rigid support, or it can be demonstrated by sufficient tests according to the procedure described in annex 4 that the soft material of less than 50 shore A hardness will not be cut during the specified impact test. In that case the required radius shall apply to the soft surface only.",SRP8-037,Inspection/Test
20,Annex 4.1.2.1,Energy-Dissipating Materials Test,"In tests carried out according to the above procedures, the deceleration of the headform shall not exceed 80 g continuously for more than 3 milliseconds. The deceleration rate taken shall be the average of the readings of the two decelerometers.",SRP8-037,Test
24,Annex 5.1.1,"""H"" Point Determination","Establishes the ""H"" point and torso angle for seating positions in a vehicle.",SRP8-032,
25,Annex 6.1.2,Measuring Projections,"Projections must be measured using a test apparatus, ensuring controls do not protrude dangerously.",SRP8-029,
26,Annex 7.1.1,Knee Impact Zone Test,Switches and pull-knobs in the knee impact zone must be tested for dangerous projections using a specified apparatus.,SRP8-028,
27,Annex 8.1.1,Dynamic Head Impact Zone,Head impact zones are determined dynamically using crash tests or simulations with dummies.,,
21,5.3.2.2,Roof Stick Projection,The width of the projecting part shall be measured at right angles to the line of the projection. In particular the rigid roof sticks or ribs shall not project away from the inner surface of the roof more than 19 mm.,SRP8-027,Inspection/Test
28,Annex 4.1.3.2,Roof Energy Absorption Test,Roof materials must absorb energy during impact tests conducted as described in Annex 4. (crash testing??),SRP8-027,
29,Annex 6.2.3.1,Control Levers Safety Testing,"Control levers must retract or detach safely upon impact in knee zones, tested using a headform.",SRP8-029,
22,5.8.3.1,Auto-reversing Device,This device shall reverse the window/roof panel/partition before it exerts a pinch force of more than 100 N within the opening of 200 mm to 4 mm above the top edge of a power-operated window/partition or in front of the leading edge of a sliding roof panel and at the trailing edge of a tilting roof panel.,SRP8-112,Test
